Stadt,"Post-leitzahl 1)","Fläche in km2 2)",weiblich
"Ennepetal, Stadt der Kluterthöhle",58256,57.77,15320
"Werne, Stadt",59368,76.14,15370
"Merzig, Kreisstadt",66663,108.98,15070
"Andernach, Stadt",56626,53.34,15290
"Bad Hersfeld, Kreisstadt",36251,73.82,15138
"Neuburg a.d.Donau, GKSt",86633,81.29,14679
"Friedberg, St",86316,81.25,15072
"Taunusstein, Stadt",65232,67.03,15192
"Rietberg, Stadt",33397,110.31,14583
"Höxter, Stadt",37671,158.16,14856
"Gaggenau, Stadt",76571,65.01,14909
"Oelde, Stadt",59302,102.77,14595
"Waltrop, Stadt",45731,47.09,15050
"Tönisvorst, Stadt",47918,44.34,14996
"Güstrow, Stadt",18273,71.09,15076
"Vaihingen an der Enz, Stadt",71665,73.4,14572
"Northeim, Stadt",37154,145.85,14803
"Bretten, Stadt",75015,71.1,14543
"Bühl, Stadt",77815,73.18,14717
"Zeitz, Stadt",6712,87.18,14838
"Landsberg am Lech, GKSt",86899,57.91,14429
"Springe, Stadt",31832,160.12,14831
"Rösrath, Stadt",51503,38.8,14652
"Unterschleißheim, St",85716,14.93,14252
"Kelkheim (Taunus), Stadt",65779,30.65,14612
"Schwandorf, GKSt",92421,123.81,14330
"Friedberg (Hessen), Kreisstadt",61169,50.17,14317
"Schwelm, Stadt",58332,20.49,14755
"Idar-Oberstein, Stadt",55743,91.58,14493
"Grimma, Stadt",4668,218.25,14370
"Kevelaer, Stadt",47623,100.64,14371
"Rendsburg, Stadt",24768,23.73,14264
"Wegberg, Stadt",41844,84.34,14279
"Winnenden, Stadt",71364,28.05,14196
"Mühlheim am Main, Stadt",63165,20.67,14205
"Leichlingen (Rheinland), Blütenstadt",42799,37.26,14555
"Sundern (Sauerland), Stadt",59846,193.27,13931
"Meißen, Stadt",1662,30.92,14503
"Bad Neuenahr-Ahrweiler, Stadt",53474,63.38,14839
"Wetter (Ruhr), Stadt",58300,31.55,14105
"Königsbrunn, St",86343,18.4,14053
"Aschersleben, Stadt",6449,156.22,14352
"Baunatal, Stadt",34225,38.26,14296
"Rödermark, Stadt",63322,29.99,14111
"Geislingen an der Steige, Stadt",73312,75.83,13806
"Verden (Aller), Stadt",27283,71.7,14198
"Emmendingen, Stadt",79312,33.78,14210
"Reinbek, Stadt",21465,31.23,13906
"Olching, St",82140,29.92,14013
"Hattersheim am Main, Stadt",65795,15.81,13678
"Sangerhausen, Stadt",6526,207.66,13902
"Mechernich, Stadt",53894,136.48,13619
"Rheinbach, Stadt",53359,69.72,13687
"Neukirchen-Vluyn, Stadt",47506,43.5,14026
"Wangen im Allgäu, Stadt",88239,101.35,13928
"Overath, Stadt",51491,68.88,13743
"Griesheim, Stadt",64347,21.55,13536
"Leimen, Stadt",69181,20.64,13779
"Baesweiler, Stadt",52499,27.76,13832
"Geilenkirchen, Stadt",52511,83.2,13576
"Hamminkeln, Stadt",46499,164.53,13412
"Schloß Holte-Stukenbrock, Stadt",33758,67.52,13600
"Weinstadt, Stadt",71384,31.71,13606
"Wiesloch, Stadt",69168,30.24,13348
"Lohne (Oldenburg), Stadt",49393,91.11,12952
"Strausberg, Stadt",15344,67.95,13689
"Neckarsulm, Stadt",74172,24.94,13273
"Lauf a.d.Pegnitz, St",91207,59.77,13518
"Eisenhüttenstadt, Stadt",15890,63.47,13554
"Nordenham, Stadt",26954,87.77,13235
"Köthen (Anhalt), Stadt",6366,78.44,13440
"Staßfurt, Stadt",39418,146.71,13439
"Hennigsdorf, Stadt",16761,31.47,13323
"St. Wendel, Kreisstadt",66606,113.53,13298
"Heiligenhaus, Stadt",42579,27.52,13268
"Ilmenau, Stadt",98693,62.73,12462
"Remseck am Neckar, Stadt",71686,22.82,13115
"Butzbach, Friedrich-Ludwig-Weidig-Stadt",35510,106.6,12977
"Kulmbach, GKSt",95326,92.77,13355
"Mühlacker, Stadt",75417,54.32,12987
"Ehingen (Donau), Stadt",89584,178.33,12752
"Lennestadt, Stadt",57368,135.59,12798
"Heppenheim (Bergstraße), Kreisstadt",64646,52.14,12999
"Zittau, Stadt",2763,66.75,13159
"Selm, Stadt",59379,60.41,13189
"Bad Honnef, Stadt",53604,48.17,13356
"Hohen Neuendorf, Stadt",16540,48.56,13226
"Teltow, Stadt",14513,21.6,13062
"Brilon, Stadt",59929,229.16,13070
"Weiterstadt, Stadt",64331,34.4,12636
