Stadt,"Post-leitzahl 1)","Fläche in km2 2)",weiblich
"Grimmen, Stadt",18507,50.51,5188
"Nideggen, Stadt",52385,65.04,5051
"Nieder-Olm, Stadt",55268,11.22,5096
"Oldenburg in Holstein, Stadt",23758,39.68,5069
"Dassel, Stadt",37586,113.24,4968
"Bad Gandersheim, Stadt",37581,90.85,5089
"Bad Wildbad, Stadt",75323,105.22,5012
"Sebnitz, Stadt",1855,88.23,4963
"Mengen, Stadt",88512,49.82,4882
"Heubach, Stadt",73540,25.78,4944
"Bad Orb, Stadt",63619,47.78,5109
"Bockenem, Stadt",31167,109.96,4872
"Simbach a.Inn, St",84359,47.33,4983
"Schlitz, Stadt",36110,142.09,4881
"Neuenstadt am Kocher, Stadt",74196,41.17,4831
"Visselhövede, Stadt",27374,159.2,4952
"Hohenmölsen, Stadt",6679,75.31,5007
"Laubach, Stadt",35321,97.02,4954
"Brand-Erbisdorf, Stadt",9618,46.33,4952
"Bad König, Stadt",64732,46.73,4969
"Gudensberg, Stadt",34281,46.5,4879
"Lügde, Stadt der Osterräder",32676,88.64,4844
"Brandis, Stadt",4821,34.89,4879
"Burgau, St",89331,25.92,4812
"Luckau, Stadt",15926,207.43,4828
"Beilngries, St",92339,100.02,4606
"Niesky, Stadt",2906,53.81,4862
"Dissen am Teutoburger Wald, Stadt",49201,31.9,4741
"Zwiesel, St",94227,41.16,4841
"Niddatal, Stadt",61194,40.26,4762
"Ilsenburg (Harz), Stadt",38871,62.97,4795
"Zschopau, Stadt",9405,22.79,4899
"Sassnitz, Stadt",18546,47.14,4939
"Runkel, Stadt",65594,43.72,4760
"Trebbin, Stadt",14959,126.37,4670
"Bleckede, Stadt",21354,140.65,4861
"Bad Ems, Stadt",56130,15.41,4902
"Endingen am Kaiserstuhl, Stadt",79346,26.7,4752
"Fürstenau, Stadt",49584,78.65,4814
"Neustadt (Hessen), Stadt",35279,56.88,4594
"Wahlstedt, Stadt",23812,15.75,4802
"Höhr-Grenzhausen, Stadt",56203,15.88,4795
"Zörbig, Stadt",6780,113.68,4724
"Rehau, St",95111,80.33,4783
"Torgelow, Stadt",17358,72.19,4751
"Heilsbronn, St",91560,62.23,4731
"Bad Breisig, Stadt",53498,19.93,4821
"Raguhn-Jeßnitz, Stadt",6779,97.13,4706
"Obernkirchen, Stadt",31683,32.45,4653
"Eisenberg (Pfalz), Stadt",67304,18.75,4674
"Miltenberg, St",63897,60.25,4738
"Altlandsberg, Stadt",15345,106.6,4662
"Töging a.Inn, St",84513,13.65,4752
"Bad Liebenwerda, Stadt",4924,138.88,4734
"Zahna-Elster, Stadt",6895,148.58,4630
"Bad Liebenzell, Stadt",75378,33.78,4712
"Lüchow (Wendland), Stadt",29439,89.46,4740
"Kyritz, Stadt",16866,157.38,4690
"Bad Bevensen, Stadt",29549,48.36,4960
"Doberlug-Kirchhain, Stadt",3253,150.36,4593
"Wunsiedel, St",95632,54.88,4717
"Heiligenhafen, Stadt",23774,18.32,4734
"Herzberg (Elster), Stadt",4916,149,4754
"Osthofen, Stadt",67574,18.62,4610
"Elsfleth, Stadt",26931,115.19,4456
"Zwenkau, Stadt",4442,46.3,4617
"Ortenberg, Stadt",63683,54.69,4603
"Storkow (Mark), Stadt",15859,180.72,4536
"Wertingen, St",86637,51.88,4549
"Ballenstedt, Stadt",6493,86.65,4621
"Reinfeld (Holstein), Stadt",23858,17.36,4559
"Furtwangen im Schwarzwald, Stadt",78120,82.57,4374
"Kandel, Stadt",76870,26.69,4555
"Waldheim, Stadt",4736,41.71,4420
"Tecklenburg, Stadt",49545,70.49,4483
"Weißenthurm, Stadt",56575,3.99,4345
"Bad Frankenhausen/Kyffhäuser, Stadt",6567,66.22,4557
"Furth im Wald, St",93437,67.06,4469
"Penig, Stadt",9322,63.37,4568
"Mittenwalde, Stadt",15749,99.12,4370
"Olbernhau, Stadt",9526,70.22,4575
"Mücheln (Geiseltal), Stadt",6249,98.58,4496
"Mansfeld, Stadt",6343,143.8,4475
"Breckerfeld, Hansestadt",58339,59.1,4519
"Hemau, St",93155,122.33,4348
"Freystadt, St",92342,80.56,4322
"Plön, Stadt",24306,36.73,4623
"Rain, St",86641,77.13,4418
"Calbe (Saale), Stadt",39240,56.67,4610
"Wetter (Hessen), Stadt",35083,104.56,4398
"Bad Griesbach i.Rottal, St",94086,70.13,4516
"Laufenburg (Baden), Stadt",79725,23.55,4536
"Auerbach i.d.OPf., St",91275,78.25,4490
"Elze, Stadt",31008,47.81,4486
"Bad Lauchstädt, Goethestadt",6246,85.37,4479
"Lauter-Bernsbach, Stadt",8315,30.28,4538
"Borgholzhausen, Stadt",33829,55.99,4454
"Ichenhausen, St",89335,34.27,4333
"Ochsenhausen, Stadt",88416,59.96,4331
"Mendig, Stadt",56743,23.75,4419
"Tirschenreuth, St",95643,103.95,4545
"Volkach, St",97332,60.19,4426
"Nittenau, St",93149,98.73,4278
"Colditz, Stadt",4680,84.09,4439
"Florstadt, Stadt",61197,39.6,4396
"Ueckermünde, Stadt",17373,85.87,4448
"Weida, Stadt",7570,36.8,4414
"Hemmoor, Stadt",21745,45.07,4459
"Kappeln, Stadt",24376,43.32,4501
"Klingenthal, Stadt",8248,50.44,4465
"Waldenbuch, Stadt",71111,22.7,4416
"Barth, Stadt",18356,41.18,4521
"Obernburg a.Main, St",63785,24.82,4387
"Schieder-Schwalenberg, Stadt",32816,60.04,4349
"Naunhof, Stadt",4683,39.72,4416
"Großräschen, Stadt",1983,81.86,4390
"Rauenberg, Stadt",69231,11.12,4339
"Barntrup, Stadt",32683,59.46,4317
"Kirchen (Sieg), Stadt",57548,39.76,4372
"Lützen, Stadt",6686,96.49,4345
"Hainichen, Stadt",9661,51.74,4314
"Neuötting, St",84524,36.6,4410
"Werneuchen, Stadt",16356,117.01,4275
"Lößnitz, Stadt",8294,30.49,4387
"Borgentreich, Orgelstadt4)",34434,138.94,/
"Bad Schussenried, Stadt",88427,55.01,4219
"Berching, St",92334,131.18,4239
"Barby, Stadt",39249,152.76,4295
"Teterow, Stadt",17166,47.07,4355
"Könnern, Stadt",6420,125.28,4272
"Schleiz, Stadt",7907,83.15,4262
"Lauta, Stadt",2991,42.13,4348
"Oranienbaum-Wörlitz, Stadt",6785,115.16,4161
"Bad Sooden-Allendorf, Stadt",37242,73.52,4313
"Vallendar, Stadt",56179,13.22,4346
"Wissen, Stadt",57537,34.88,4244
"Bersenbrück, Stadt",49593,42.54,4260
"Helmbrechts, St",95233,58.72,4324
"Premnitz, Stadt",14727,46.27,4359
"Großbottwar, Stadt",71723,25.51,4190
"Bad Schmiedeberg, Stadt",6905,160.02,4241
"Kirchberg, Stadt",8107,39.57,4367
"Leisnig, Stadt",4703,78.08,4309
"Nierstein, Stadt",55283,19.34,4253
"Hallstadt, St",96103,14.6,4233
"Kandern, Stadt",79400,62.26,4245
"Meßkirch, Stadt",88605,76.22,4144
"Bismark (Altmark), Stadt",39629,289.45,4154
"Dannenberg (Elbe), Stadt",29451,76.62,4169
"Staufenberg, Stadt",35460,28.6,4223
"Vetschau/Spreewald, Stadt",3226,111.51,4119
"Grafenau, St",94481,63.73,4164
"Landstuhl, Sickingenstadt, Stadt",66849,15.34,4195
"Willebadessen, Stadt",34439,128.41,4066
"Falkenstein/Vogtl., Stadt",8223,31.06,4326
"Kuppenheim, Stadt",76456,18.08,4233
"Vohburg a.d.Donau, St",85088,45.18,3981
"Kirn, Stadt",55606,16.53,4216
"Teuchern, Stadt",6682,81.36,4089
"Bad Bergzabern, Stadt",76887,10.71,4299
"Rheinsberg, Stadt",16831,328.22,4067
"Neustadt an der Orla, Stadt",7806,36.73,4201
"Lugau/Erzgeb., Stadt",9385,22.29,4211
"Neunburg vorm Wald, St",92431,110.14,3955
"Seeland, Stadt",6469,78.86,4069
"Viechtach, St",94234,62.47,4088
"Elsterwerda, Stadt",4910,40.58,4156
"Beeskow, Stadt",15848,77.81,4207
"Arnstein, St",97450,112.1,3995
"Staufen im Breisgau, Stadt",79219,23.32,4235
"Bad Lausick, Stadt",4651,70.02,4115
"Oederan, Stadt",9569,77.33,4072
"Altenberg, Stadt",1773,145.89,4003
"Zell am Harmersbach, Stadt",77736,36.41,4056
"Kellinghusen, Stadt",25548,18.81,4060
"Möckmühl, Stadt",74219,49.6,3912
"Neuenbürg, Stadt",75305,28.15,4007
"Dornstetten, Stadt",72280,24.2,4038
"Treuen, Stadt",8233,43.74,4090
"Bad Düben, Stadt",4849,45.83,4132
"Daun, Stadt",54550,49.02,4070
"Wörrstadt, Stadt",55286,16.75,4019
"Knittlingen, Stadt",75438,26.33,4027
"Rottenburg a.d.Laaber, St",84056,90.11,3931
"Simmern/ Hunsrück, Stadt",55469,11.96,4115
"Neresheim, Stadt",73450,118.51,3836
"Kühlungsborn, Stadt",18225,16.17,4151
"Medebach, Hansestadt",59964,126.05,3933
"Harzgerode, Stadt",6493,164.66,3941
"Herrieden, St",91567,81.66,3962
"Bützow, Stadt",18246,39.85,3841
"Bad Liebenstein, Stadt",36448,48.81,4078
"Pockau-Lengefeld, Stadt",9514,83.43,3924
"Schweich, Stadt",54338,31.1,4122
"Allstedt, Stadt",6542,149.81,3908
"Calau, Stadt",3205,163.5,3928
"Belgern-Schildau, Stadt",4874,158.98,3901
"Kirchheimbolanden, Stadt",67292,26.36,4030
"Oberkochen, Stadt",73447,23.55,3956
"Gundelfingen a.d.Donau, St",89423,54.06,3894
"Aken (Elbe), Stadt",6385,59.91,3955
"Bad Herrenalb, Stadt",76332,33.01,3940
"Bönnigheim, Stadt",74357,20.13,3902
"Hermsdorf, Stadt",7629,7.49,3978
"Naila, St",95119,37.04,3994
"Löffingen, Stadt",79843,88.02,3811
"Markneukirchen, Stadt",8258,69.07,3927
"Hardegsen, Stadt",37181,84.03,3929
"Kalbe (Milde), Stadt",39624,272.7,3784
"Ramstein-Miesenbach, Stadt",66877,43.01,3921
"Sontra, Stadt",36205,111.29,3814
"Hüfingen, Stadt",78183,58.55,3833
"Münnerstadt, St",97702,93.11,3730
"Gerolstein, Stadt",54568,64.43,3811
"Ransbach-Baumbach, Stadt",56235,12.15,3886
"Roßwein, Stadt",4741,44.1,3774
"Baiersdorf, St",91083,11.81,3822
"Bad Berka, Stadt",99438,55.32,3889
"Eibenstock, Stadt",8309,112.22,3809
"Pulsnitz, Stadt",1896,26.75,3839
"Groitzsch, Stadt",4539,70.17,3893
"Bad Sachsa, Stadt",37441,33.2,3854
"Friedrichroda, Stadt",99894,36.88,3852
"Bad Kötzting, St",93444,62.15,3800
"Treuenbrietzen, Stadt",14929,212.43,3781
"Malchin, Stadt",17139,95,3759
"Gedern, Stadt",63688,75.24,3661
"Homberg (Ohm), Stadt",35315,88.02,3677
"Oppenheim, Stadt",55276,7.1,3853
"Breuberg, Stadt",64747,30.76,3756
"Vohenstrauß, St",92648,74.91,3777
"Weikersheim, Stadt",97990,80.93,3720
"Radeburg, Stadt",1471,54.01,3679
"Esens, Stadt",26427,21.67,3902
"Teublitz, St",93158,38.23,3690
"Ebern, St",96106,95.01,3605
"Wriezen, Stadt",16269,95.15,3693
"Kremmen, Stadt",16766,209.55,3663
"Saarburg, Stadt",54439,20.63,3796
"Heringen (Werra), Stadt",36266,61.17,3697
"Freyung, St",94078,48.63,3686
"Gundelsheim, Stadt",74831,38.44,3651
"Meldorf, Stadt",25704,21.26,3798
"Otterndorf, Stadt",21762,33.55,3816
"Dettelbach, St",97337,60.94,3614
"Gröditz, Stadt",1609,28.94,3680
"Elzach, Stadt",79215,75.28,3665
"Gerbstedt, Stadt",6347,102.31,3637
"Hartha, Stadt",4746,54.4,3684
"Renchen, Stadt",77871,32.08,3596
"Lengenfeld, Stadt",8485,46.98,3647
"Scheßlitz, St",96110,94.87,3475
"Hecklingen, Stadt",39444,95.34,3626
"Schwarzenbach a.d.Saale, St",95126,59.18,3614
"Annweiler am Trifels, Stadt",76855,39.87,3584
"Laufen, St",83410,35.28,3514
"Neukirchen, Stadt",34626,66.26,3524
"Greding, St",91171,103.74,3480
"Haslach im Kinzigtal, Stadt",77716,18.67,3592
"Bernkastel-Kues, Stadt",54470,23.71,3670
"Zwingenberg, Stadt",64673,5.66,3504
"Leipheim, St",89340,32.15,3382
"Jerichow, Stadt",39319,269.93,3469
"Bad Wimpfen, Stadt",74206,19.38,3516
"Moringen, Stadt",37186,82.39,3393
"Parsberg, St",92331,57.32,3418
"Römhild, Stadt",98630,122.45,3443
"Immenhausen, Stadt",34376,28.54,3496
"Birkenfeld, Stadt",55765,13.64,3440
"Gerolzhofen, St",97447,18.39,3519
"Geiselhöring, St",94333,99.69,3402
"Rodalben, Stadt",66976,15.69,3500
"Schelklingen, Stadt",89601,75.85,3387
"Kahla, Stadt",7768,7.89,3524
"Volkmarsen, Stadt",34471,67.47,3421
"Ebermannstadt, St",91320,49.95,3459
"Arendsee (Altmark), Stadt",39619,269.68,3431
"Neuhaus am Rennweg, Stadt",98724,80.98,3422
"Annaburg, Stadt",6925,224.28,3445
"Bonndorf im Schwarzwald, Stadt",79848,75.91,3343
"Neustadt-Glewe, Stadt",19306,94.14,3350
"Waldeck, Stadt",34513,115.73,3425
"Müncheberg, Stadt",15374,152.29,3352
"Waldmünchen, St",93449,101.17,3453
"Reichelsheim (Wetterau), Stadt",61203,27.6,3414
"Polch, Stadt",56751,28.68,3386
"Böhlen, Stadt",4564,24.56,3453
"Arnstein, Stadt",6333,121.69,3408
"Waldsassen, St",95652,66.53,3405
"Gau-Algesheim, Stadt",55435,13.99,3488
"Glashütte, Stadt",1768,95.64,3339
"Edenkoben, Stadt",67480,17.89,3368
"Dietenheim, Stadt",89165,18.75,3393
"Nortorf, Stadt",24589,12.77,3459
"Friedland, Stadt",17098,132.66,3368
"Bad Blankenburg, Stadt",7422,35.62,3375
"Höchstädt a.d.Donau, St",89420,37.45,3343
"Havelberg, Hansestadt",39539,149.12,3350
"Boxberg, Stadt",97944,101.71,3247
"Mitterteich, St",95666,39.38,3370
"Herdorf, Stadt",57562,17.99,3373
"Großröhrsdorf, Stadt",1900,26.54,3393
"Königsee-Rottenbach, Stadt",7426,84.37,3297
"Zierenberg, Stadt",34289,86.53,3350
"Malchow, Stadt",17213,44.71,3390
"Bernsdorf, Stadt",2994,59.78,3322
"Neuenstein, Stadt",74632,47.84,3185
"Rodewisch, Stadt",8228,26.88,3300
"Maulbronn, Stadt",75433,25.44,3308
"Osterburken, Stadt",74706,47.32,3221
"Ketzin/Havel, Stadt",14669,93.63,3244
"Falkenberg/Elster, Stadt",4895,82.16,3256
"Ilshofen, Stadt",74532,54.87,3162
"Burgkunstadt, St",96224,40.6,3355
"Großalmerode, Stadt",37247,37.62,3291
"Bad Sobernheim, Stadt",55566,54.18,3286
"Rosenfeld, Stadt",72348,51.11,3184
"Blankenhain, Stadt",99444,113.75,3242
"Beerfelden, Stadt",64743,71.19,3192
"Horstmar, Stadt der Burgmannshöfe",48612,44.76,3164
"Trochtelfingen, Stadt",72818,79.2,3140
"Rodenberg, Stadt",31552,15.62,3209
"Gammertingen, Stadt",72501,52.97,3069
"Wittenburg, Stadt",19243,80.08,3096
"Bad Brückenau, St",97769,23.71,3239
"Bad Rodach, St",96476,77.65,3211
"Nienburg (Saale), Stadt",6429,79.14,3205
"Grafenwöhr, St",92655,216.21,3218
"Uffenheim, St",97215,59.46,3206
"Schirgiswalde-Kirschau, Stadt",2681,24.34,3156
"Dohna, Stadt",1809,28.59,3148
"Alpirsbach, Stadt",72275,64.55,3095
"Thalheim/Erzgeb., Stadt",9380,10.79,3247
"Pegau, Stadt",4523,48.8,3213
"Güglingen, Stadt",74363,16.27,3056
"Altenkirchen (Westerwald), Stadt",57610,10.98,3271
"Spangenberg, Liebenbachstadt",34286,97.7,3024
"Neuffen, Stadt",72639,17.43,3107
"Zell im Wiesental, Stadt",79669,36.12,3139
"Nieheim, Stadt",33039,79.71,3007
"Beilstein, Stadt",71717,25.24,3115
"Geisingen, Stadt",78187,73.75,3047
"Neumarkt-Sankt Veit, St",84494,61.07,3097
"Lübz, Stadt",19386,57.73,3211
"Bleicherode, Stadt",99752,28.32,3126
"Heitersheim, Stadt",79423,11.71,3126
"Hermeskeil, Stadt",54411,30.89,3092
"Stavenhagen, Reuterstadt, Stadt",17153,41.02,3049
"Klingenberg a.Main, St",63911,21.12,3060
"Brotterode-Trusetal, Stadt",98596,49.68,3100
"Dietfurt a.d.Altmühl, St",92345,78.71,2902
"Plau am See, Stadt",19395,116.27,3106
"Windsbach, St",91575,68.12,2936
"Mügeln, Stadt",4769,55.08,3075
"Nabburg, St",92507,62.38,3049
"Thannhausen, St",86470,20.03,3117
"Braunlage, Stadt",38700,31.65,3016
"Kölleda, Stadt",99625,70.4,3051
"Herrnhut, Stadt",2747,74.12,3055
"Bad Lobenstein, Stadt",7356,48.92,3038
"Wassertrüdingen, St",91717,53.57,3010
"Rötha, Stadt",4571,46.16,2950
"Bad Königshofen i.Grabfeld, St",97631,69.51,3086
"Grünhain-Beierfeld, Stadt",8344,22.25,3016
"Glücksburg (Ostsee), Stadt",24960,39.7,3136
"Dornhan, Stadt",72175,44.92,2977
"Norderney, Stadt",26548,26.31,3141
"Linz am Rhein, Stadt",53545,17.98,3107
"Vilseck, St",92249,64.69,3004
"Oberlungwitz, Stadt",9353,14.68,3043
"Hachenburg, Stadt",57627,21.43,3139
"Geislingen, Stadt",72351,31.96,2936
"Gransee, Stadt",16775,121.68,2933
"Stadtroda, Stadt",7646,16.76,3015
"Riedenburg, St",93339,100.3,2903
"Vogtsburg im Kaiserstuhl, Stadt",79235,37.36,2912
"Bad Marienberg (Westerwald), Stadt",56470,9.95,2980
"Fürstenberg/Havel, Stadt",16798,213.85,2966
"Bad Hönningen, Stadt",53557,20.09,2977
"Rochlitz, Stadt",9306,23.76,3050
"Schlüsselfeld, St",96132,70.24,2850
"Tittmoning, St",84529,72.01,2850
"Hausach, Stadt",77756,36.07,2901
"Leun, Stadt",35638,28.66,2895
"Grebenstein, Stadt",34393,49.85,2928
"Marne, Stadt",25709,4.83,3039
"Neustadt a.d.Waldnaab, St",92660,9.93,2930
"Meersburg, Stadt",88709,12.07,3029
"Hirschau, St",92242,74.96,2941
"Bräunlingen, Stadt",78199,62.14,2891
"Wemding, St",86650,31.6,2956
"Haiterbach, Stadt",72221,28.92,2900
"Wittichenau, Stadt",2997,61.02,2959
"Wolfach, Stadt",77709,67.97,2879
"Stadtoldendorf, Stadt",37627,24.92,2930
"Waibstadt, Stadt",74915,25.57,2915
"Westerburg, Stadt",56457,18.48,2962
"Schwarzheide, Stadt",1987,33.44,2886
"Dierdorf, Stadt",56269,31.98,2864
"Traben-Trarbach, Stadt",56841,31.35,2866
"Grabow, Stadt",19300,72.27,2873
"Großschirma, Stadt",9603,61.63,2835
"Biesenthal, Stadt",16359,60.92,2864
"Mellrichstadt, St",97638,55.99,2843
"Stolpen, Stadt",1833,60.89,2833
"Bad Gottleuba-Berggießhübel, Stadt",1816,88.72,2837
"Schrozberg, Stadt",74575,105.21,2745
"Eisfeld, Stadt",98673,52.68,2795
"Drebkau, Stadt",3116,143.91,2766
"Ruhla, Stadt",99842,38.55,2847
"Münzenberg, Stadt",35516,31.63,2841
"Zeil a.Main, St",97475,35.72,2838
"Ellrich, Stadt",99755,69.43,2813
"Leutershausen, St",91578,84.07,2789
"Schöppenstedt, Stadt",38170,39.73,2819
"Abenberg, St",91183,48.41,2845
"Gersfeld (Rhön), Stadt",36129,89.37,2792
"Bodenwerder, Münchhausenstadt",37619,29.05,2855
"Neubulach, Stadt",75387,24.69,2783
"Artern/Unstrut, Stadt",6556,24.19,2830
"Ohrdruf, Stadt",99885,39.78,2742
"Laage, Stadt",18299,81.6,2770
"Harburg (Schwaben), St",86655,73.16,2740
"Gadebusch, Stadt",19205,47.76,2809
"Ingelfingen, Stadt",74653,46.48,2771
"Hagenbach, Stadt",76767,15.86,2769
"Seelow, Stadt",15306,42.73,2815
"Dornburg-Camburg, Stadt",7774,30.77,2785
"Pfreimd, St",92536,51.45,2707
"Bredstedt, Stadt",25821,9.75,2759
"Falkenstein/Harz, Stadt",6463,102.97,2668
"Prüm, Stadt",54595,22.87,2680
"Kemnath, St",95478,56.8,2767
"Schleusingen, Stadt",98553,36.88,2742
"Burg Stargard, Stadt",17094,76.61,2746
"Tharandt, Stadt",1737,71.22,2661
"Lütjenburg, Stadt",24321,6.15,2771
"Kastellaun, Stadt",56288,8.47,2663
"Niedenstein, Stadt",34305,30.61,2620
"Otterberg, Stadt",67697,32.11,2744
"Battenberg (Eder), Stadt",35088,64.73,2667
"Geithain, Stadt",4643,30.22,2745
"Thum, Stadt",9419,18.9,2694
"Uebigau-Wahrenbrück, Stadt",4938,135.61,2627
"Wirges, Stadt",56422,10.11,2733
"Altentreptow, Stadt",17087,53.08,2734
"Cochem, Stadt",56812,21.18,2614
"Velburg, St",92355,175.66,2637
"Pottenstein, St",91278,73.29,2613
"Eltmann, St",97483,40.75,2593
"Kusel, Stadt",66869,14.37,2687
"Vacha, Stadt",36404,44.41,2659
"Rockenhausen, Stadt",67806,36.83,2652
"Arzberg, St",95659,43.19,2618
"Diemelstadt, Stadt",34474,82.58,2566
"Külsheim, Stadt",97900,81.43,2538
"Munderkingen, Stadt",89597,13.07,2637
"Borkum, Stadt",26757,30.98,2742
"Neudenau, Stadt",74861,32.91,2567
"Heimsheim, Stadt",71296,14.3,2346
"Stühlingen, Stadt",79780,93.16,2548
"Amöneburg, Stadt",35287,43.95,2566
"Zarrentin am Schaalsee, Stadt",19246,91.91,2546
"Unkel, Stadt",53572,8.16,2681
"Erbendorf, St",92681,67.56,2580
"Oettingen i.Bay., St",86732,34.22,2572
"Röbel/Müritz, Stadt",17207,30.69,2690
"Lindenfels, Stadt",64678,21.09,2554
"Naumburg, Stadt",34311,66.29,2591
"Hofheim i.UFr., St",97461,56.34,2566
"Treffurt, Stadt",99830,54.77,2560
"Hollfeld, St",96142,80.65,2581
"Freinsheim, Stadt",67251,13.59,2618
"Marienmünster, Stadt",37696,64.36,2531
"Pausa-Mühltroff, Stadt",7952,64.13,2547
"Reichenbach/O.L., Stadt",2894,62.64,2548
"Adorf/Vogtl., Stadt",8626,42.92,2605
"Trendelburg, Stadt",34388,69.35,2530
"Freren, Stadt",49832,48.97,2476
"Wilthen, Stadt",2681,17.04,2617
"Forchtenberg, Stadt",74670,38.09,2465
"Windischeschenbach, St",92670,36.37,2508
"Ronneburg, Stadt",7580,19.13,2590
"Monheim, St",86653,69.33,2439
"Lommatzsch, Stadt",1623,66.63,2563
"Dahme/Mark, Stadt",15936,162.59,2512
"Adelsheim, Stadt",74740,43.84,2336
"Roßleben, Stadt",6571,33.57,2550
"Tönning, Stadt",25832,44.41,2504
"Seehausen (Altmark), Hansestadt",39615,107,2538
"Steinbach-Hallenberg, Kurort, Stadt",98587,22.64,2569
"Kitzscher, Stadt",4567,29.04,2532
"Mahlberg, Stadt",77972,16.59,2474
"Schwaan, Stadt",18258,38.28,2512
"Spalt, St",91174,55.67,2466
"Oberviechtach, St",92526,62.42,2480
"Hitzacker (Elbe), Stadt",29456,58.67,2565
"Lichtenau, Stadt",77839,27.61,2459
"Todtnau, Stadt",79674,69.75,2481
"Creußen, St",95473,60.47,2470
"Strasburg (Uckermark), Stadt",17335,87.47,2499
"Crivitz, Stadt",19089,75.87,2545
"Niederstetten, Stadt",97996,104.05,2373
"Weismain, St",96260,90.14,2381
"Herbstein, Stadt",36358,79.98,2347
"Heringen/Helme, Stadt",99765,66.91,2389
"Eggesin, Stadt",17367,88.23,2452
"Emmelshausen, Stadt",56281,7.9,2475
"Lübtheen, Stadt",19249,120.17,2241
"Kröpelin, Stadt",18236,67.54,2412
"Triberg im Schwarzwald, Stadt",78098,33.33,2384
"Bad Sulza, Stadt",99518,45.49,2450
"Ehrenfriedersdorf, Stadt",9427,15.89,2462
"Geisa, Stadt",36419,71.94,2362
"Wörth a.d.Donau, St",93086,52.25,2310
"Freyburg (Unstrut), Stadt",6632,46.55,2434
"Oppenau, Stadt",77728,72.98,2347
"Stadtilm, Stadt",99326,17.34,2402
"Bischofsheim a.d.Rhön, St",97653,67.7,2393
"Wachenheim an der Weinstraße, Stadt",67157,24.97,2393
"Lauchheim, Stadt",73466,40.86,2314
"Creglingen, Stadt",97993,117.23,2327
"Rothenburg/O.L., Stadt",2929,72.4,2347
"Groß-Bieberau, Stadt",64401,18.27,2340
"Wörth a.Main, St",63939,15.88,2362
"Schömberg, Stadt",72355,23.25,2277
"Hartenstein, Stadt",8118,36.7,2404
"Heideck, St",91180,58.64,2276
"Niederstotzingen, Stadt",89168,29.81,2320
"Dahn, Stadt",66994,40.76,2368
"Scheinfeld, St",91443,45.12,2340
"Iphofen, St",97346,78.06,2329
"Nassau, Stadt",56377,17.55,2304
"Müllrose, Stadt",15299,69.24,2362
"Krautheim, Stadt",74238,52.9,2186
"Augustusburg, Stadt",9573,23.38,2293
"Marlow, Stadt",18337,140.52,2199
"Tengen, Stadt",78250,62.04,2290
"Schwarzenbach a.Wald, St",95131,36.7,2309
"Hallenberg, Stadt",59969,65.35,2194
"Tann (Rhön), Stadt",36142,60.45,2211
"Schönau, Stadt",69250,22.49,2221
"Dargun, Stadt",17159,118.01,2250
"Gefrees, St",95482,50.32,2280
"Wilster, Stadt",25554,2.71,2247
"Königsbrück, Stadt",1936,78.48,2232
"Rabenau, Stadt",1734,30.73,2198
"Kirchberg an der Jagst, Stadt",74592,40.93,2041
"Peitz, Stadt",3185,13.49,2215
"Schönberg, Stadt",23923,38.21,2242
"Lunzenau, Stadt",9328,28.33,2234
"Rauschenberg, Stadt",35282,67.33,2237
"Selbitz, St",95152,27.74,2307
"Woldegk, Stadt",17348,156.29,2149
"Waldkappel, Stadt",37284,96.48,2166
"Heimbach, Stadt",52396,64.96,2143
"Rennerod, Stadt",56477,18.14,2126
"Putbus, Stadt",18581,66.68,2202
"Loitz, Stadt",17121,89.9,2217
"Dahlen, Stadt",4774,71.87,2200
"Vellberg, Stadt",74541,31.89,2173
"Dransfeld, Stadt",37127,28.91,2215
"Bad Berneck i.Fichtelgebirge, St",95460,33.56,2184
"Dingelstädt, Stadt",37351,20.45,2143
"Pressath, St",92690,66.34,2206
"Gerabronn, Stadt",74582,40.38,2142
"Liebenwalde, Stadt",16559,142.17,2111
"Waldershof, St",95679,60.37,2136
"Geringswalde, Stadt",9326,30.06,2167
"Berka/Werra, Stadt",99837,57.09,2107
"Sternberg, Stadt",19406,67.7,2228
"Hornberg, Stadt",78132,54.45,2122
"Tambach-Dietharz/Thür. Wald, Stadt",99897,41.63,2117
"Penzlin, Stadt",17217,115.56,2108
"Güsten, Stadt",39439,36.16,2126
"Schnaittenbach, St",92253,63.41,2072
"Lichtenfels, Stadt",35104,96.73,2028
"Wyk auf Föhr, Stadt",25938,8,2256
"Wanfried, Stadt",37281,46.9,2089
"Allendorf (Lumda), Stadt",35469,22.01,2042
"Nastätten, Stadt",56355,13.05,2121
"Baruth/Mark, Stadt",15837,233.84,2017
"Elsterberg, Stadt",7985,25.1,2112
"Johanngeorgenstadt, Stadt",8349,29.58,2107
"Zell (Mosel), Stadt",56856,44.95,2034
"Bad Buchau, Stadt",88422,23.75,2058
"Dassow, Stadt",23942,66.98,2005
"Niedernhall, Stadt",74676,17.71,1998
"Neckarbischofsheim, Stadt",74924,26.4,2034
"Waldenburg, Stadt",8396,25.06,2059
"Rheinböllen, Stadt",55494,16.36,2053
"Pappenheim, St",91788,64.32,2030
"Gemünden (Wohra), Stadt",35285,58.67,1981
"Baunach, St",96148,32.14,1967
"St. Blasien, Stadt",79837,54.41,2070
"Gräfenberg, St",91322,37.83,1975
"Baumholder, Stadt",55774,69.19,2094
"Brück, Stadt",14822,86.19,1915
