Stadt,"Post-leitzahl 1)","Fläche in km2 2)",männlich
"Rüdesheim am Rhein, Stadt",65385,51.44,4960
"Grimmen, Stadt",18507,50.51,4700
"Nideggen, Stadt",52385,65.04,4835
"Nieder-Olm, Stadt",55268,11.22,4789
"Oldenburg in Holstein, Stadt",23758,39.68,4795
"Dassel, Stadt",37586,113.24,4892
"Bad Gandersheim, Stadt",37581,90.85,4769
"Bad Wildbad, Stadt",75323,105.22,4837
"Sebnitz, Stadt",1855,88.23,4854
"Mengen, Stadt",88512,49.82,4901
"Heubach, Stadt",73540,25.78,4821
"Bad Orb, Stadt",63619,47.78,4650
"Bockenem, Stadt",31167,109.96,4869
"Simbach a.Inn, St",84359,47.33,4753
"Schlitz, Stadt",36110,142.09,4835
"Neuenstadt am Kocher, Stadt",74196,41.17,4882
"Visselhövede, Stadt",27374,159.2,4748
"Hohenmölsen, Stadt",6679,75.31,4689
"Laubach, Stadt",35321,97.02,4741
"Brand-Erbisdorf, Stadt",9618,46.33,4688
"Bad König, Stadt",64732,46.73,4670
"Gudensberg, Stadt",34281,46.5,4753
"Lügde, Stadt der Osterräder",32676,88.64,4780
"Brandis, Stadt",4821,34.89,4740
"Burgau, St",89331,25.92,4805
"Luckau, Stadt",15926,207.43,4746
"Beilngries, St",92339,100.02,4954
"Niesky, Stadt",2906,53.81,4681
"Dissen am Teutoburger Wald, Stadt",49201,31.9,4798
"Zwiesel, St",94227,41.16,4659
"Niddatal, Stadt",61194,40.26,4733
"Ilsenburg (Harz), Stadt",38871,62.97,4696
"Zschopau, Stadt",9405,22.79,4591
"Sassnitz, Stadt",18546,47.14,4546
"Runkel, Stadt",65594,43.72,4717
"Trebbin, Stadt",14959,126.37,4804
"Bleckede, Stadt",21354,140.65,4606
"Bad Ems, Stadt",56130,15.41,4555
"Endingen am Kaiserstuhl, Stadt",79346,26.7,4693
"Fürstenau, Stadt",49584,78.65,4623
"Neustadt (Hessen), Stadt",35279,56.88,4833
"Wahlstedt, Stadt",23812,15.75,4595
"Höhr-Grenzhausen, Stadt",56203,15.88,4593
"Zörbig, Stadt",6780,113.68,4648
"Rehau, St",95111,80.33,4569
"Torgelow, Stadt",17358,72.19,4598
"Heilsbronn, St",91560,62.23,4616
"Bad Breisig, Stadt",53498,19.93,4520
"Raguhn-Jeßnitz, Stadt",6779,97.13,4601
"Obernkirchen, Stadt",31683,32.45,4649
"Eisenberg (Pfalz), Stadt",67304,18.75,4627
"Miltenberg, St",63897,60.25,4560
"Altlandsberg, Stadt",15345,106.6,4636
"Töging a.Inn, St",84513,13.65,4534
"Bad Liebenwerda, Stadt",4924,138.88,4549
"Zahna-Elster, Stadt",6895,148.58,4648
"Bad Liebenzell, Stadt",75378,33.78,4537
"Lüchow (Wendland), Stadt",29439,89.46,4474
"Kyritz, Stadt",16866,157.38,4502
"Bad Bevensen, Stadt",29549,48.36,4230
"Doberlug-Kirchhain, Stadt",3253,150.36,4586
"Wunsiedel, St",95632,54.88,4455
"Heiligenhafen, Stadt",23774,18.32,4428
"Herzberg (Elster), Stadt",4916,149,4375
"Osthofen, Stadt",67574,18.62,4518
"Elsfleth, Stadt",26931,115.19,4661
"Zwenkau, Stadt",4442,46.3,4465
"Ortenberg, Stadt",63683,54.69,4473
"Storkow (Mark), Stadt",15859,180.72,4534
"Wertingen, St",86637,51.88,4493
"Ballenstedt, Stadt",6493,86.65,4412
"Reinfeld (Holstein), Stadt",23858,17.36,4470
"Furtwangen im Schwarzwald, Stadt",78120,82.57,4651
"Kandel, Stadt",76870,26.69,4448
"Waldheim, Stadt",4736,41.71,4582
"Tecklenburg, Stadt",49545,70.49,4506
"Weißenthurm, Stadt",56575,3.99,4636
"Bad Frankenhausen/Kyffhäuser, Stadt",6567,66.22,4418
"Furth im Wald, St",93437,67.06,4491
"Penig, Stadt",9322,63.37,4385
"Mittenwalde, Stadt",15749,99.12,4580
"Olbernhau, Stadt",9526,70.22,4369
"Mücheln (Geiseltal), Stadt",6249,98.58,4443
"Mansfeld, Stadt",6343,143.8,4454
"Breckerfeld, Hansestadt",58339,59.1,4401
"Hemau, St",93155,122.33,4559
"Freystadt, St",92342,80.56,4582
"Plön, Stadt",24306,36.73,4280
"Rain, St",86641,77.13,4484
"Calbe (Saale), Stadt",39240,56.67,4292
"Wetter (Hessen), Stadt",35083,104.56,4503
"Bad Griesbach i.Rottal, St",94086,70.13,4385
"Laufenburg (Baden), Stadt",79725,23.55,4348
"Auerbach i.d.OPf., St",91275,78.25,4369
"Elze, Stadt",31008,47.81,4367
"Bad Lauchstädt, Goethestadt",6246,85.37,4372
"Lauter-Bernsbach, Stadt",8315,30.28,4308
"Borgholzhausen, Stadt",33829,55.99,4381
"Ichenhausen, St",89335,34.27,4478
"Ochsenhausen, Stadt",88416,59.96,4477
"Mendig, Stadt",56743,23.75,4384
"Tirschenreuth, St",95643,103.95,4242
"Volkach, St",97332,60.19,4358
"Nittenau, St",93149,98.73,4447
"Colditz, Stadt",4680,84.09,4281
"Florstadt, Stadt",61197,39.6,4303
"Ueckermünde, Stadt",17373,85.87,4248
"Weida, Stadt",7570,36.8,4280
"Hemmoor, Stadt",21745,45.07,4231
"Kappeln, Stadt",24376,43.32,4175
"Klingenthal, Stadt",8248,50.44,4209
"Waldenbuch, Stadt",71111,22.7,4254
"Barth, Stadt",18356,41.18,4139
"Obernburg a.Main, St",63785,24.82,4260
"Schieder-Schwalenberg, Stadt",32816,60.04,4296
"Naunhof, Stadt",4683,39.72,4223
"Großräschen, Stadt",1983,81.86,4239
"Rauenberg, Stadt",69231,11.12,4288
"Barntrup, Stadt",32683,59.46,4299
"Kirchen (Sieg), Stadt",57548,39.76,4241
"Lützen, Stadt",6686,96.49,4267
"Hainichen, Stadt",9661,51.74,4295
"Neuötting, St",84524,36.6,4191
"Werneuchen, Stadt",16356,117.01,4309
"Lößnitz, Stadt",8294,30.49,4172
"Borgentreich, Orgelstadt4)",34434,138.94,/
"Bad Schussenried, Stadt",88427,55.01,4334
"Berching, St",92334,131.18,4302
"Barby, Stadt",39249,152.76,4240
"Teterow, Stadt",17166,47.07,4169
"Könnern, Stadt",6420,125.28,4247
"Schleiz, Stadt",7907,83.15,4247
"Lauta, Stadt",2991,42.13,4156
"Oranienbaum-Wörlitz, Stadt",6785,115.16,4332
"Bad Sooden-Allendorf, Stadt",37242,73.52,4163
"Vallendar, Stadt",56179,13.22,4097
"Wissen, Stadt",57537,34.88,4193
"Bersenbrück, Stadt",49593,42.54,4176
"Helmbrechts, St",95233,58.72,4101
"Premnitz, Stadt",14727,46.27,4064
"Großbottwar, Stadt",71723,25.51,4218
"Bad Schmiedeberg, Stadt",6905,160.02,4158
"Kirchberg, Stadt",8107,39.57,4028
"Leisnig, Stadt",4703,78.08,4083
"Nierstein, Stadt",55283,19.34,4135
"Hallstadt, St",96103,14.6,4123
"Kandern, Stadt",79400,62.26,4102
"Meßkirch, Stadt",88605,76.22,4203
"Bismark (Altmark), Stadt",39629,289.45,4181
"Dannenberg (Elbe), Stadt",29451,76.62,4161
"Staufenberg, Stadt",35460,28.6,4091
"Vetschau/Spreewald, Stadt",3226,111.51,4178
"Grafenau, St",94481,63.73,4112
"Landstuhl, Sickingenstadt, Stadt",66849,15.34,4081
"Willebadessen, Stadt",34439,128.41,4175
"Falkenstein/Vogtl., Stadt",8223,31.06,3909
"Kuppenheim, Stadt",76456,18.08,3995
"Vohburg a.d.Donau, St",85088,45.18,4235
"Kirn, Stadt",55606,16.53,3975
"Teuchern, Stadt",6682,81.36,4087
"Bad Bergzabern, Stadt",76887,10.71,3865
"Rheinsberg, Stadt",16831,328.22,4094
"Neustadt an der Orla, Stadt",7806,36.73,3957
"Lugau/Erzgeb., Stadt",9385,22.29,3936
"Neunburg vorm Wald, St",92431,110.14,4178
"Seeland, Stadt",6469,78.86,4061
"Viechtach, St",94234,62.47,4042
"Elsterwerda, Stadt",4910,40.58,3962
"Beeskow, Stadt",15848,77.81,3892
"Arnstein, St",97450,112.1,4095
"Staufen im Breisgau, Stadt",79219,23.32,3850
"Bad Lausick, Stadt",4651,70.02,3966
"Oederan, Stadt",9569,77.33,4007
"Altenberg, Stadt",1773,145.89,4057
"Zell am Harmersbach, Stadt",77736,36.41,3978
"Kellinghusen, Stadt",25548,18.81,3960
"Möckmühl, Stadt",74219,49.6,4099
"Neuenbürg, Stadt",75305,28.15,3992
"Dornstetten, Stadt",72280,24.2,3957
"Treuen, Stadt",8233,43.74,3903
"Bad Düben, Stadt",4849,45.83,3836
"Daun, Stadt",54550,49.02,3894
"Wörrstadt, Stadt",55286,16.75,3927
"Knittlingen, Stadt",75438,26.33,3901
"Rottenburg a.d.Laaber, St",84056,90.11,3993
"Simmern/ Hunsrück, Stadt",55469,11.96,3799
"Neresheim, Stadt",73450,118.51,4074
"Kühlungsborn, Stadt",18225,16.17,3758
"Medebach, Hansestadt",59964,126.05,3973
"Harzgerode, Stadt",6493,164.66,3965
"Herrieden, St",91567,81.66,3933
"Bützow, Stadt",18246,39.85,4046
"Bad Liebenstein, Stadt",36448,48.81,3806
"Pockau-Lengefeld, Stadt",9514,83.43,3924
"Schweich, Stadt",54338,31.1,3718
"Allstedt, Stadt",6542,149.81,3931
"Calau, Stadt",3205,163.5,3908
"Belgern-Schildau, Stadt",4874,158.98,3927
"Kirchheimbolanden, Stadt",67292,26.36,3760
"Oberkochen, Stadt",73447,23.55,3829
"Gundelfingen a.d.Donau, St",89423,54.06,3869
"Aken (Elbe), Stadt",6385,59.91,3799
"Bad Herrenalb, Stadt",76332,33.01,3805
"Bönnigheim, Stadt",74357,20.13,3823
"Hermsdorf, Stadt",7629,7.49,3746
"Naila, St",95119,37.04,3721
"Löffingen, Stadt",79843,88.02,3887
"Markneukirchen, Stadt",8258,69.07,3769
"Hardegsen, Stadt",37181,84.03,3765
"Kalbe (Milde), Stadt",39624,272.7,3905
"Ramstein-Miesenbach, Stadt",66877,43.01,3756
"Sontra, Stadt",36205,111.29,3857
"Hüfingen, Stadt",78183,58.55,3802
"Münnerstadt, St",97702,93.11,3894
"Gerolstein, Stadt",54568,64.43,3802
"Ransbach-Baumbach, Stadt",56235,12.15,3692
"Roßwein, Stadt",4741,44.1,3797
"Baiersdorf, St",91083,11.81,3738
"Bad Berka, Stadt",99438,55.32,3651
"Eibenstock, Stadt",8309,112.22,3727
"Pulsnitz, Stadt",1896,26.75,3676
"Groitzsch, Stadt",4539,70.17,3603
"Bad Sachsa, Stadt",37441,33.2,3622
"Friedrichroda, Stadt",99894,36.88,3619
"Bad Kötzting, St",93444,62.15,3662
"Treuenbrietzen, Stadt",14929,212.43,3679
"Malchin, Stadt",17139,95,3697
"Gedern, Stadt",63688,75.24,3780
"Homberg (Ohm), Stadt",35315,88.02,3746
"Oppenheim, Stadt",55276,7.1,3564
"Breuberg, Stadt",64747,30.76,3657
"Vohenstrauß, St",92648,74.91,3613
"Weikersheim, Stadt",97990,80.93,3667
"Radeburg, Stadt",1471,54.01,3704
"Esens, Stadt",26427,21.67,3441
"Teublitz, St",93158,38.23,3653
"Ebern, St",96106,95.01,3728
"Wriezen, Stadt",16269,95.15,3638
"Kremmen, Stadt",16766,209.55,3647
"Saarburg, Stadt",54439,20.63,3512
"Heringen (Werra), Stadt",36266,61.17,3609
"Freyung, St",94078,48.63,3619
"Gundelsheim, Stadt",74831,38.44,3654
"Meldorf, Stadt",25704,21.26,3501
"Otterndorf, Stadt",21762,33.55,3467
"Dettelbach, St",97337,60.94,3666
"Gröditz, Stadt",1609,28.94,3586
"Elzach, Stadt",79215,75.28,3594
"Gerbstedt, Stadt",6347,102.31,3620
"Hartha, Stadt",4746,54.4,3543
"Renchen, Stadt",77871,32.08,3593
"Lengenfeld, Stadt",8485,46.98,3540
"Scheßlitz, St",96110,94.87,3682
"Hecklingen, Stadt",39444,95.34,3520
"Schwarzenbach a.d.Saale, St",95126,59.18,3502
"Annweiler am Trifels, Stadt",76855,39.87,3529
"Laufen, St",83410,35.28,3595
"Neukirchen, Stadt",34626,66.26,3584
"Greding, St",91171,103.74,3608
"Haslach im Kinzigtal, Stadt",77716,18.67,3494
"Bernkastel-Kues, Stadt",54470,23.71,3387
"Zwingenberg, Stadt",64673,5.66,3527
"Leipheim, St",89340,32.15,3625
"Jerichow, Stadt",39319,269.93,3530
"Bad Wimpfen, Stadt",74206,19.38,3469
"Moringen, Stadt",37186,82.39,3577
"Parsberg, St",92331,57.32,3537
"Römhild, Stadt",98630,122.45,3503
"Immenhausen, Stadt",34376,28.54,3440
"Birkenfeld, Stadt",55765,13.64,3483
"Gerolzhofen, St",97447,18.39,3389
"Geiselhöring, St",94333,99.69,3498
"Rodalben, Stadt",66976,15.69,3392
"Schelklingen, Stadt",89601,75.85,3493
"Kahla, Stadt",7768,7.89,3351
"Volkmarsen, Stadt",34471,67.47,3450
"Ebermannstadt, St",91320,49.95,3392
"Arendsee (Altmark), Stadt",39619,269.68,3419
"Neuhaus am Rennweg, Stadt",98724,80.98,3424
"Annaburg, Stadt",6925,224.28,3398
"Bonndorf im Schwarzwald, Stadt",79848,75.91,3491
"Neustadt-Glewe, Stadt",19306,94.14,3474
"Waldeck, Stadt",34513,115.73,3397
"Müncheberg, Stadt",15374,152.29,3468
"Waldmünchen, St",93449,101.17,3359
"Reichelsheim (Wetterau), Stadt",61203,27.6,3395
"Polch, Stadt",56751,28.68,3421
"Böhlen, Stadt",4564,24.56,3352
"Arnstein, Stadt",6333,121.69,3382
"Waldsassen, St",95652,66.53,3362
"Gau-Algesheim, Stadt",55435,13.99,3266
"Glashütte, Stadt",1768,95.64,3412
"Edenkoben, Stadt",67480,17.89,3374
"Dietenheim, Stadt",89165,18.75,3349
"Nortorf, Stadt",24589,12.77,3242
"Friedland, Stadt",17098,132.66,3311
"Bad Blankenburg, Stadt",7422,35.62,3291
"Höchstädt a.d.Donau, St",89420,37.45,3320
"Havelberg, Hansestadt",39539,149.12,3296
"Boxberg, Stadt",97944,101.71,3386
"Mitterteich, St",95666,39.38,3260
"Herdorf, Stadt",57562,17.99,3247
"Großröhrsdorf, Stadt",1900,26.54,3221
"Königsee-Rottenbach, Stadt",7426,84.37,3306
"Zierenberg, Stadt",34289,86.53,3250
"Malchow, Stadt",17213,44.71,3166
"Bernsdorf, Stadt",2994,59.78,3211
"Neuenstein, Stadt",74632,47.84,3313
"Rodewisch, Stadt",8228,26.88,3191
"Maulbronn, Stadt",75433,25.44,3182
"Osterburken, Stadt",74706,47.32,3264
"Ketzin/Havel, Stadt",14669,93.63,3230
"Falkenberg/Elster, Stadt",4895,82.16,3203
"Ilshofen, Stadt",74532,54.87,3297
"Burgkunstadt, St",96224,40.6,3100
"Großalmerode, Stadt",37247,37.62,3154
"Bad Sobernheim, Stadt",55566,54.18,3155
"Rosenfeld, Stadt",72348,51.11,3223
"Blankenhain, Stadt",99444,113.75,3164
"Beerfelden, Stadt",64743,71.19,3213
"Horstmar, Stadt der Burgmannshöfe",48612,44.76,3238
"Trochtelfingen, Stadt",72818,79.2,3237
"Rodenberg, Stadt",31552,15.62,3167
"Gammertingen, Stadt",72501,52.97,3298
"Wittenburg, Stadt",19243,80.08,3259
"Bad Brückenau, St",97769,23.71,3113
"Bad Rodach, St",96476,77.65,3141
"Nienburg (Saale), Stadt",6429,79.14,3136
"Grafenwöhr, St",92655,216.21,3118
"Uffenheim, St",97215,59.46,3126
"Schirgiswalde-Kirschau, Stadt",2681,24.34,3175
"Dohna, Stadt",1809,28.59,3177
"Alpirsbach, Stadt",72275,64.55,3196
"Thalheim/Erzgeb., Stadt",9380,10.79,3038
"Pegau, Stadt",4523,48.8,3071
"Güglingen, Stadt",74363,16.27,3213
"Altenkirchen (Westerwald), Stadt",57610,10.98,2985
"Spangenberg, Liebenbachstadt",34286,97.7,3217
"Neuffen, Stadt",72639,17.43,3127
"Zell im Wiesental, Stadt",79669,36.12,3087
"Nieheim, Stadt",33039,79.71,3215
"Beilstein, Stadt",71717,25.24,3097
"Geisingen, Stadt",78187,73.75,3164
"Neumarkt-Sankt Veit, St",84494,61.07,3107
"Lübz, Stadt",19386,57.73,2986
"Bleicherode, Stadt",99752,28.32,3031
"Heitersheim, Stadt",79423,11.71,3030
"Hermeskeil, Stadt",54411,30.89,3044
"Stavenhagen, Reuterstadt, Stadt",17153,41.02,3078
"Klingenberg a.Main, St",63911,21.12,3065
"Brotterode-Trusetal, Stadt",98596,49.68,3009
"Dietfurt a.d.Altmühl, St",92345,78.71,3192
"Plau am See, Stadt",19395,116.27,2970
"Windsbach, St",91575,68.12,3140
"Mügeln, Stadt",4769,55.08,3001
"Nabburg, St",92507,62.38,3018
"Thannhausen, St",86470,20.03,2950
"Braunlage, Stadt",38700,31.65,3033
"Kölleda, Stadt",99625,70.4,2991
"Herrnhut, Stadt",2747,74.12,2978
"Bad Lobenstein, Stadt",7356,48.92,2991
"Wassertrüdingen, St",91717,53.57,3013
"Rötha, Stadt",4571,46.16,3066
"Bad Königshofen i.Grabfeld, St",97631,69.51,2914
"Grünhain-Beierfeld, Stadt",8344,22.25,2983
"Glücksburg (Ostsee), Stadt",24960,39.7,2859
"Dornhan, Stadt",72175,44.92,3011
"Norderney, Stadt",26548,26.31,2840
"Linz am Rhein, Stadt",53545,17.98,2855
"Vilseck, St",92249,64.69,2933
"Oberlungwitz, Stadt",9353,14.68,2891
"Hachenburg, Stadt",57627,21.43,2793
"Geislingen, Stadt",72351,31.96,2983
"Gransee, Stadt",16775,121.68,2962
"Stadtroda, Stadt",7646,16.76,2878
"Riedenburg, St",93339,100.3,2988
"Vogtsburg im Kaiserstuhl, Stadt",79235,37.36,2970
"Bad Marienberg (Westerwald), Stadt",56470,9.95,2897
"Fürstenberg/Havel, Stadt",16798,213.85,2908
"Bad Hönningen, Stadt",53557,20.09,2860
"Rochlitz, Stadt",9306,23.76,2782
"Schlüsselfeld, St",96132,70.24,2973
"Tittmoning, St",84529,72.01,2968
"Hausach, Stadt",77756,36.07,2908
"Leun, Stadt",35638,28.66,2905
"Grebenstein, Stadt",34393,49.85,2871
"Marne, Stadt",25709,4.83,2757
"Neustadt a.d.Waldnaab, St",92660,9.93,2865
"Meersburg, Stadt",88709,12.07,2759
"Hirschau, St",92242,74.96,2842
"Bräunlingen, Stadt",78199,62.14,2888
"Wemding, St",86650,31.6,2821
"Haiterbach, Stadt",72221,28.92,2874
"Wittichenau, Stadt",2997,61.02,2811
"Wolfach, Stadt",77709,67.97,2883
"Stadtoldendorf, Stadt",37627,24.92,2830
"Waibstadt, Stadt",74915,25.57,2804
"Westerburg, Stadt",56457,18.48,2755
"Schwarzheide, Stadt",1987,33.44,2825
"Dierdorf, Stadt",56269,31.98,2827
"Traben-Trarbach, Stadt",56841,31.35,2821
"Grabow, Stadt",19300,72.27,2811
"Großschirma, Stadt",9603,61.63,2843
"Biesenthal, Stadt",16359,60.92,2807
"Mellrichstadt, St",97638,55.99,2824
"Stolpen, Stadt",1833,60.89,2833
"Bad Gottleuba-Berggießhübel, Stadt",1816,88.72,2823
"Schrozberg, Stadt",74575,105.21,2909
"Eisfeld, Stadt",98673,52.68,2841
"Drebkau, Stadt",3116,143.91,2844
"Ruhla, Stadt",99842,38.55,2758
"Münzenberg, Stadt",35516,31.63,2763
"Zeil a.Main, St",97475,35.72,2756
"Ellrich, Stadt",99755,69.43,2770
"Leutershausen, St",91578,84.07,2789
"Schöppenstedt, Stadt",38170,39.73,2742
"Abenberg, St",91183,48.41,2709
"Gersfeld (Rhön), Stadt",36129,89.37,2758
"Bodenwerder, Münchhausenstadt",37619,29.05,2692
"Neubulach, Stadt",75387,24.69,2753
"Artern/Unstrut, Stadt",6556,24.19,2703
"Ohrdruf, Stadt",99885,39.78,2778
"Laage, Stadt",18299,81.6,2741
"Harburg (Schwaben), St",86655,73.16,2768
"Gadebusch, Stadt",19205,47.76,2698
"Ingelfingen, Stadt",74653,46.48,2708
"Hagenbach, Stadt",76767,15.86,2706
"Seelow, Stadt",15306,42.73,2636
"Dornburg-Camburg, Stadt",7774,30.77,2665
"Pfreimd, St",92536,51.45,2741
"Bredstedt, Stadt",25821,9.75,2673
"Falkenstein/Harz, Stadt",6463,102.97,2751
"Prüm, Stadt",54595,22.87,2734
"Kemnath, St",95478,56.8,2631
"Schleusingen, Stadt",98553,36.88,2649
"Burg Stargard, Stadt",17094,76.61,2641
"Tharandt, Stadt",1737,71.22,2722
"Lütjenburg, Stadt",24321,6.15,2606
"Kastellaun, Stadt",56288,8.47,2698
"Niedenstein, Stadt",34305,30.61,2734
"Otterberg, Stadt",67697,32.11,2596
"Battenberg (Eder), Stadt",35088,64.73,2670
"Geithain, Stadt",4643,30.22,2591
"Thum, Stadt",9419,18.9,2634
"Uebigau-Wahrenbrück, Stadt",4938,135.61,2697
"Wirges, Stadt",56422,10.11,2590
"Altentreptow, Stadt",17087,53.08,2576
"Cochem, Stadt",56812,21.18,2696
"Velburg, St",92355,175.66,2673
"Pottenstein, St",91278,73.29,2644
"Eltmann, St",97483,40.75,2663
"Kusel, Stadt",66869,14.37,2565
"Vacha, Stadt",36404,44.41,2578
"Rockenhausen, Stadt",67806,36.83,2581
"Arzberg, St",95659,43.19,2613
"Diemelstadt, Stadt",34474,82.58,2663
"Külsheim, Stadt",97900,81.43,2680
"Munderkingen, Stadt",89597,13.07,2568
"Borkum, Stadt",26757,30.98,2447
"Neudenau, Stadt",74861,32.91,2619
"Heimsheim, Stadt",71296,14.3,2829
"Stühlingen, Stadt",79780,93.16,2595
"Amöneburg, Stadt",35287,43.95,2570
"Zarrentin am Schaalsee, Stadt",19246,91.91,2588
"Unkel, Stadt",53572,8.16,2446
"Erbendorf, St",92681,67.56,2535
"Oettingen i.Bay., St",86732,34.22,2535
"Röbel/Müritz, Stadt",17207,30.69,2416
"Lindenfels, Stadt",64678,21.09,2551
"Naumburg, Stadt",34311,66.29,2513
"Hofheim i.UFr., St",97461,56.34,2524
"Treffurt, Stadt",99830,54.77,2520
"Hollfeld, St",96142,80.65,2497
"Freinsheim, Stadt",67251,13.59,2454
"Marienmünster, Stadt",37696,64.36,2540
"Pausa-Mühltroff, Stadt",7952,64.13,2505
"Reichenbach/O.L., Stadt",2894,62.64,2499
"Adorf/Vogtl., Stadt",8626,42.92,2433
"Trendelburg, Stadt",34388,69.35,2506
"Freren, Stadt",49832,48.97,2557
"Wilthen, Stadt",2681,17.04,2415
"Forchtenberg, Stadt",74670,38.09,2557
"Windischeschenbach, St",92670,36.37,2512
"Ronneburg, Stadt",7580,19.13,2425
"Monheim, St",86653,69.33,2567
"Lommatzsch, Stadt",1623,66.63,2437
"Dahme/Mark, Stadt",15936,162.59,2482
"Adelsheim, Stadt",74740,43.84,2654
"Roßleben, Stadt",6571,33.57,2434
"Tönning, Stadt",25832,44.41,2472
"Seehausen (Altmark), Hansestadt",39615,107,2430
"Steinbach-Hallenberg, Kurort, Stadt",98587,22.64,2396
"Kitzscher, Stadt",4567,29.04,2432
"Mahlberg, Stadt",77972,16.59,2490
"Schwaan, Stadt",18258,38.28,2447
"Spalt, St",91174,55.67,2481
"Oberviechtach, St",92526,62.42,2451
"Hitzacker (Elbe), Stadt",29456,58.67,2356
"Lichtenau, Stadt",77839,27.61,2458
"Todtnau, Stadt",79674,69.75,2431
"Creußen, St",95473,60.47,2432
"Strasburg (Uckermark), Stadt",17335,87.47,2391
"Crivitz, Stadt",19089,75.87,2335
"Niederstetten, Stadt",97996,104.05,2447
"Weismain, St",96260,90.14,2435
"Herbstein, Stadt",36358,79.98,2468
"Heringen/Helme, Stadt",99765,66.91,2423
"Eggesin, Stadt",17367,88.23,2348
"Emmelshausen, Stadt",56281,7.9,2308
"Lübtheen, Stadt",19249,120.17,2539
"Kröpelin, Stadt",18236,67.54,2361
"Triberg im Schwarzwald, Stadt",78098,33.33,2380
"Bad Sulza, Stadt",99518,45.49,2312
"Ehrenfriedersdorf, Stadt",9427,15.89,2300
"Geisa, Stadt",36419,71.94,2383
"Wörth a.d.Donau, St",93086,52.25,2433
"Freyburg (Unstrut), Stadt",6632,46.55,2304
"Oppenau, Stadt",77728,72.98,2382
"Stadtilm, Stadt",99326,17.34,2317
"Bischofsheim a.d.Rhön, St",97653,67.7,2314
"Wachenheim an der Weinstraße, Stadt",67157,24.97,2313
"Lauchheim, Stadt",73466,40.86,2386
"Creglingen, Stadt",97993,117.23,2370
"Rothenburg/O.L., Stadt",2929,72.4,2326
"Groß-Bieberau, Stadt",64401,18.27,2327
"Wörth a.Main, St",63939,15.88,2290
"Schömberg, Stadt",72355,23.25,2374
"Hartenstein, Stadt",8118,36.7,2247
"Heideck, St",91180,58.64,2356
"Niederstotzingen, Stadt",89168,29.81,2311
"Dahn, Stadt",66994,40.76,2248
"Scheinfeld, St",91443,45.12,2273
"Iphofen, St",97346,78.06,2266
"Nassau, Stadt",56377,17.55,2282
"Müllrose, Stadt",15299,69.24,2209
"Krautheim, Stadt",74238,52.9,2377
"Augustusburg, Stadt",9573,23.38,2263
"Marlow, Stadt",18337,140.52,2354
"Tengen, Stadt",78250,62.04,2234
"Schwarzenbach a.Wald, St",95131,36.7,2196
"Hallenberg, Stadt",59969,65.35,2280
"Tann (Rhön), Stadt",36142,60.45,2234
"Schönau, Stadt",69250,22.49,2223
"Dargun, Stadt",17159,118.01,2182
"Gefrees, St",95482,50.32,2146
"Wilster, Stadt",25554,2.71,2173
"Königsbrück, Stadt",1936,78.48,2184
"Rabenau, Stadt",1734,30.73,2208
"Kirchberg an der Jagst, Stadt",74592,40.93,2362
"Peitz, Stadt",3185,13.49,2185
"Schönberg, Stadt",23923,38.21,2156
"Lunzenau, Stadt",9328,28.33,2150
"Rauschenberg, Stadt",35282,67.33,2145
"Selbitz, St",95152,27.74,2068
"Woldegk, Stadt",17348,156.29,2211
"Waldkappel, Stadt",37284,96.48,2193
"Heimbach, Stadt",52396,64.96,2209
"Rennerod, Stadt",56477,18.14,2213
"Putbus, Stadt",18581,66.68,2132
"Loitz, Stadt",17121,89.9,2117
"Dahlen, Stadt",4774,71.87,2132
"Vellberg, Stadt",74541,31.89,2159
"Dransfeld, Stadt",37127,28.91,2112
"Bad Berneck i.Fichtelgebirge, St",95460,33.56,2142
"Dingelstädt, Stadt",37351,20.45,2181
"Pressath, St",92690,66.34,2110
"Gerabronn, Stadt",74582,40.38,2159
"Liebenwalde, Stadt",16559,142.17,2166
"Waldershof, St",95679,60.37,2128
"Geringswalde, Stadt",9326,30.06,2096
"Berka/Werra, Stadt",99837,57.09,2146
"Sternberg, Stadt",19406,67.7,2024
"Hornberg, Stadt",78132,54.45,2123
"Tambach-Dietharz/Thür. Wald, Stadt",99897,41.63,2126
"Penzlin, Stadt",17217,115.56,2104
"Güsten, Stadt",39439,36.16,2061
"Schnaittenbach, St",92253,63.41,2112
"Lichtenfels, Stadt",35104,96.73,2152
"Wyk auf Föhr, Stadt",25938,8,1903
"Wanfried, Stadt",37281,46.9,2062
"Allendorf (Lumda), Stadt",35469,22.01,2099
"Nastätten, Stadt",56355,13.05,2008
"Baruth/Mark, Stadt",15837,233.84,2104
"Elsterberg, Stadt",7985,25.1,2007
"Johanngeorgenstadt, Stadt",8349,29.58,2008
"Zell (Mosel), Stadt",56856,44.95,2072
"Bad Buchau, Stadt",88422,23.75,2035
"Dassow, Stadt",23942,66.98,2071
"Niedernhall, Stadt",74676,17.71,2070
"Neckarbischofsheim, Stadt",74924,26.4,2032
"Waldenburg, Stadt",8396,25.06,2001
"Rheinböllen, Stadt",55494,16.36,2005
"Pappenheim, St",91788,64.32,2027
"Gemünden (Wohra), Stadt",35285,58.67,2075
"Baunach, St",96148,32.14,2084
"St. Blasien, Stadt",79837,54.41,1967
"Gräfenberg, St",91322,37.83,2038
