Stadt,"Post-leitzahl 1)","Fläche in km2 2)",männlich
"Bergkamen, Stadt",59192,44.9,23947
"Rheda-Wiedenbrück, Stadt",33378,86.72,24273
"Rastatt, Stadt",76437,58.98,23980
"Frankenthal (Pfalz), Stadt",67227,43.88,23483
"Freising, GKSt",85354,88.59,24051
"Bornheim, Stadt",53332,82.69,23342
"Leonberg, Stadt",71229,48.73,23707
"Singen (Hohentwiel), Stadt",78224,61.77,23154
"Soest, Stadt",59494,85.81,22876
"Gronau (Westf.), Stadt",48599,78.82,23547
"Hennef (Sieg), Stadt",53773,105.89,23043
"Stade, Hansestadt",21682,110.07,23073
Straubing,94315,67.59,23683
"Dachau, GKSt",85221,34.96,23000
"Neunkirchen, Kreisstadt",66538,75.26,23072
"Schwerte, Hansestadt an der Ruhr",58239,56.23,22810
"Alsdorf, Stadt",52477,31.68,23160
"Herzogenrath, Stadt",52134,33.38,22692
"Dülmen, Stadt",48249,184.83,22627
"Wittenberg, Lutherstadt",6886,240.41,22320
"Melle, Stadt",49324,253.95,22900
"Landau in der Pfalz, Stadt",76829,82.94,21759
"Oberursel (Taunus), Stadt",61440,45.37,22195
"Lahr/Schwarzwald, Stadt",77933,69.84,22740
"Bünde, Stadt",32257,59.3,22245
"Fellbach, Stadt",70734,27.71,22007
"Filderstadt, Stadt",70794,38.55,22513
Hof,95028,58.02,21631
"Gotha, Stadt",99867,69.58,22206
"Weinheim, Stadt",69469,58.11,21954
"Albstadt, Stadt",72458,134.4,22020
"Rodgau, Stadt",63110,65.04,22086
"Erkrath, Fundort des Neanderthalers, Stadt",40699,26.88,21369
"Brühl, Stadt",50321,36.12,21130
"Bruchsal, Stadt",76646,93.19,22208
"Rottenburg am Neckar, Stadt",72108,142.26,22135
"Oranienburg, Stadt",16515,163.66,21618
"Neustadt am Rübenberge, Stadt",31535,358.96,21771
"Lehrte, Stadt",31275,127.67,21685
"Kamen, Stadt",59174,40.95,21423
"Erkelenz, Stadt",41812,117.34,21204
Memmingen,87700,70.11,21331
"Kaarst, Stadt",41564,37.39,20748
Kaufbeuren,87600,40.02,21192
"Falkensee, Stadt",14612,43.27,21107
"Bietigheim-Bissingen, Stadt",74321,31.29,21239
"Wismar, Hansestadt",23952,41.72,21023
"Halberstadt, Stadt",38820,142.98,22117
"Pinneberg, Stadt",25421,21.54,20701
"Eisenach, Stadt",99817,104.17,20969
"Weiden i.d.OPf.",92637,70.57,20457
"Borken, Stadt",46325,152.97,20838
Amberg,92224,50.13,20901
"Nordhausen, Stadt",99734,105.62,20660
"Nettetal, Stadt",41334,83.87,20804
"Homburg, Kreisstadt",66424,82.61,20562
"Gifhorn, Stadt",38518,105.39,20753
"Aurich, Stadt",26603,197.29,20579
"Freiberg, Stadt, Universitätsstadt",9599,48.32,20955
Ansbach,91522,99.91,19885
"Wunstorf, Stadt",31515,125.74,20210
"Heinsberg, Stadt",52525,92.21,20386
"Laatzen, Stadt",30880,34.16,20031
"Lemgo, Stadt",32657,100.85,20309
Coburg,96450,48.29,19929
"Dreieich, Stadt",63303,53.3,20125
"Siegburg, Stadt",53721,23.66,20149
"Königswinter, Stadt",53639,76.17,19936
"Monheim am Rhein, Stadt",40789,23.05,19633
"Nürtingen, Stadt",72622,46.88,20364
Schwabach,91126,40.8,19821
"Weißenfels, Stadt",6667,113.55,20632
"Pirmasens, Stadt",66953,61.36,19684
"Bensheim, Stadt",64625,57.83,19662
"Stendal, Hansestadt",39576,268.02,19671
"Kirchheim unter Teck, Stadt",73230,40.47,19826
"Germering, GKSt",82110,21.6,19296
"Buxtehude, Hansestadt",21614,76.69,19907
"Eberswalde, Stadt",16225,93.64,19708
"Bautzen, Stadt",2625,66.69,19425
"Bitterfeld-Wolfen, Stadt",6766,86.96,19252
"Löhne, Stadt",32584,59.51,19457
"Leinfelden-Echterdingen, Stadt",70771,29.89,19732
"Völklingen, Stadt",66333,67.1,19277
"Neumarkt i.d.OPf., GKSt",92318,79.01,19306
"Schorndorf, Stadt",73614,56.83,19385
"Hofheim am Taunus, Kreisstadt",65719,57.38,19265
"Hückelhoven, Stadt",41836,61.27,19502
"Freital, Stadt",1705,40.45,19177
"Ettlingen, Stadt",76275,56.75,19208
"Schwäbisch Hall, Stadt",74523,104.24,19058
"Ahaus, Stadt",48683,151.24,19651
"Ostfildern, Stadt",73760,22.81,19188
"Würselen, Stadt",52146,34.39,19033
"Maintal, Stadt",63477,32.4,19085
"Mettmann, Stadt",40822,42.56,18661
"Buchholz in der Nordheide, Stadt",21244,74.76,18512
"Pirna, Stadt",1796,53.06,18556
"Haltern am See, Stadt",45721,159.03,18455
"Niederkassel, Stadt",53859,35.79,18674
"Bernau bei Berlin, Stadt",16321,104.17,18378
"Neu-Isenburg, Stadt",63263,24.31,18508
"Kamp-Lintfort, Stadt",47475,63.14,18402
"Langen (Hessen), Stadt",63225,29.12,18343
"Fürstenfeldbruck, GKSt",82256,32.53,18425
"Warendorf, Stadt",48231,176.88,18041
"Greven, Stadt",48268,140.26,18318
"Beckum, Stadt",59269,111.46,18170
"Papenburg, Stadt",26871,118.44,18645
"Backnang, Stadt",71522,39.38,18172
"Königs Wusterhausen, Stadt",15711,96.04,17909
"Coesfeld, Stadt",48653,141.36,17907
"Erding, GKSt",85435,54.61,17565
"Emsdetten, Stadt",48282,72.06,18025
"Voerde (Niederrhein), Stadt",46562,53.49,17748
"St. Ingbert, Stadt",66386,49.95,17305
"Wesseling, Stadt",50389,23.37,17691
"Porta Westfalica, Stadt",32457,105.22,17648
"Suhl, Stadt",98527,103.03,17337
"Sinsheim, Stadt",74889,126.99,17681
"Kehl, Stadt",77694,75.07,17487
"Lage, Stadt",32791,76.04,17317
"Tuttlingen, Stadt",78532,90.45,17378
"Meppen, Stadt",49716,188.4,17210
"Kempen, Stadt",47906,68.8,16997
"Saarlouis, Kreisstadt",66740,43.28,16960
"Limburg a.d. Lahn, Kreisstadt",65549,45.15,17183
"Wermelskirchen, Stadt",42929,74.8,16917
"Datteln, Stadt",45711,66.1,16930
"Zweibrücken, Stadt",66482,70.64,17012
"Winsen (Luhe), Stadt",21423,109.79,16838
"Cloppenburg, Stadt",49661,70.86,16825
"Mörfelden-Walldorf, Stadt",64546,44.15,17211
"Leer (Ostfriesland), Stadt",26789,70.11,17008
"Viernheim, Stadt",68519,48.4,16734
"Merseburg, Stadt",6217,53.76,16526
"Barsinghausen, Stadt",30890,102.81,16739
"Dietzenbach, Kreisstadt",63128,21.67,16934
"Radebeul, Stadt",1445,26.14,16333
"Hemer, Stadt4)",58675,67.66,/
"Geldern, Stadt",47608,96.97,16901
"Seelze, Stadt",30926,54.08,16704
"Balingen, Stadt",72336,90.32,16407
"Crailsheim, Stadt",74564,109.08,16962
"Goch, Stadt",47574,115.43,16885
"Uelzen, Hansestadt",29525,136.84,16338
"Steinfurt, Stadt",48565,111.67,16678
"Hoyerswerda, Stadt",2977,95.53,16132
"Bernburg (Saale), Stadt",6406,113.48,16409
"Kornwestheim, Stadt",70806,14.65,16599
"Bad Vilbel, Stadt",61118,25.68,16229
"Wedel, Stadt",22880,33.82,16155
"Mühlhausen/Thüringen, Stadt",99974,86.74,16080
"Korschenbroich, Stadt",41352,55.26,16040
"Ahrensburg, Stadt",22926,35.3,15630
"Wernigerode, Stadt",38855,170.18,15624
"Rheinfelden (Baden), Stadt",79618,62.82,16069
"Altenburg, Stadt",4600,45.69,15888
"Naumburg (Saale), Stadt",6618,129.9,15889
"Deggendorf, GKSt",94469,77.14,16090
"Biberach an der Riß, Stadt",88400,72.15,16108
"Lampertheim, Stadt",68623,72.28,16113
"Jülich, Stadt",52428,90.39,16197
"Vechta, Stadt",49377,87.88,15943
"Fürstenwalde/Spree, Stadt",15517,70.68,15884
"Delbrück, Stadt",33129,157.28,16295
"Forchheim, GKSt",91301,44.45,15366
"Bad Nauheim, Stadt",61231,32.54,15040
"Itzehoe, Stadt",25524,28.03,15266
"Georgsmarienhütte, Stadt",49124,55.45,15471
"Oer-Erkenschwick, Stadt",45739,38.66,15639
"Achim, Stadt",28832,68.06,15276
"Rheinberg, Stadt",47495,75.24,15353
"Nienburg (Weser), Stadt",31582,64.53,15205
"Herrenberg, Stadt",71083,65.7,15275
"Bramsche, Stadt",49565,183.39,15799
"Kreuztal, Stadt",57223,71.07,15409
"Einbeck, Stadt",37574,231.92,15156
"Schönebeck (Elbe), Stadt",39218,86.02,15010
"Geestland, Stadt",27607,356.83,15136
