Stadt,"Post-leitzahl 1)","Fläche in km2 2)",insgesamt,männlich,weiblich,"je km2"
"Berlin, Stadt",10178,891.12,3574830,1755700,1819130,4012
"Hamburg, Freie und Hansestadt",20038,755.3,1810438,886289,924149,2397
"München, Landeshauptstadt",80331,310.71,1464301,714112,750189,4713
"Köln, Stadt",50667,405.02,1075935,524790,551145,2657
"Frankfurt am Main, Stadt",60311,248.31,736414,363754,372660,2966
"Stuttgart, Landeshauptstadt",70173,207.33,628032,313295,314737,3029
"Düsseldorf, Stadt",40213,217.41,613230,296231,316999,2821
"Dortmund, Stadt",44135,280.71,585813,287897,297916,2087
"Essen, Stadt",45127,210.34,583084,283065,300019,2772
"Leipzig, Stadt",04109,297.8,571088,280292,290796,1918
"Bremen, Stadt",28195,326.18,565719,279170,286549,1734
"Dresden, Stadt",01067,328.48,547172,272398,274774,1666
"Hannover, Landeshauptstadt",30159,204.3,532864,259559,273305,2608
Nürnberg,90403,186.45,511628,248451,263177,2744
"Duisburg, Stadt",47051,232.8,499845,247099,252746,2147
"Bochum, Stadt",44787,145.66,364920,177592,187328,2505
"Wuppertal, Stadt",42275,168.39,352390,172255,180135,2093
"Bielefeld, Stadt",33602,258.82,333451,161109,172342,1288
"Bonn, Stadt",53111,141.06,322125,153493,168632,2284
"Münster, Stadt",48143,303.28,311846,149412,162434,1028
"Karlsruhe, Stadt",76133,173.42,309999,158207,151792,1788
"Mannheim, Universitätsstadt",68159,144.97,304781,152203,152578,2102
Augsburg,86150,146.87,289584,142033,147551,1972
"Wiesbaden, Landeshauptstadt",65183,203.93,277619,132595,145024,1361
"Gelsenkirchen, Stadt",45879,104.94,262528,130776,131752,2502
"Mönchengladbach, Stadt",41061,170.47,260925,128169,132756,1531
"Braunschweig, Stadt",38100,192.7,248667,122814,125853,1290
"Kiel, Landeshauptstadt",24103,118.65,247441,120473,126968,2085
"Chemnitz, Stadt",09111,221.05,246353,121279,125074,1114
"Aachen, Stadt",52062,160.85,244951,127246,117705,1523
"Magdeburg, Landeshauptstadt",39104,201.01,238136,117527,120609,1185
"Halle (Saale), Stadt",06108,135.02,238005,115198,122807,1763
"Freiburg im Breisgau, Stadt",79098,153.04,227590,108503,119087,1487
"Krefeld, Stadt",47803,137.77,226812,110593,116219,1646
"Lübeck, Hansestadt",23539,214.21,216712,103921,112791,1012
"Mainz, Stadt",55116,97.73,213528,103861,109667,2185
"Oberhausen, Stadt",46045,77.09,211382,103720,107662,2742
"Erfurt, Stadt",99084,269.91,211113,102577,108536,782
"Rostock, Hansestadt",18055,181.36,207513,102082,105431,1144
"Kassel, documenta-Stadt",34117,106.78,199062,97228,101834,1864
"Hagen, Stadt der FernUniversität",58095,160.45,188266,91677,96589,1173
"Saarbrücken, Landeshauptstadt",66111,167.52,179709,89041,90668,1073
"Hamm, Stadt",59065,226.43,179571,88209,91362,793
"Potsdam, Stadt",14461,188.26,171810,83060,88750,913
"Mülheim an der Ruhr, Stadt",45468,91.28,170936,82431,88505,1873
"Ludwigshafen am Rhein, Stadt",67059,77.43,166621,82629,83992,2152
"Oldenburg (Oldenburg), Stadt",26122,103.09,165711,79125,86586,1607
"Osnabrück, Stadt",49074,119.8,164070,79430,84640,1370
"Leverkusen, Stadt",51373,78.87,163113,79343,83770,2068
"Heidelberg, Stadt",69117,108.89,159914,77167,82747,1469
"Solingen, Klingenstadt",42651,89.54,158908,77127,81781,1775
"Darmstadt, Wissenschaftsstadt",64283,122.09,157437,80183,77254,1290
"Herne, Stadt",44623,51.42,156774,76745,80029,3049
"Neuss, Stadt",41460,99.52,152882,74085,78797,1536
"Paderborn, Stadt",33098,179.59,148677,73899,74778,828
Regensburg,93047,80.85,148638,71800,76838,1838
Ingolstadt,85049,133.35,133639,67383,66256,1002
Würzburg,97070,87.6,126010,59978,66032,1438
Fürth,90762,63.35,125403,61372,64031,1980
"Offenbach am Main, Stadt",63065,44.89,124589,61529,63060,2775
"Ulm, Universitätsstadt",89073,118.68,123953,61244,62709,1044
"Wolfsburg, Stadt",38440,204.61,123909,61644,62265,606
"Heilbronn, Stadt",74072,99.89,123771,62188,61583,1239
"Pforzheim, Stadt",75175,98.07,123493,60582,62911,1259
"Göttingen, Stadt",37083,116.93,119177,57943,61234,1019
"Bottrop, Stadt",46236,100.61,117409,57195,60214,1167
"Reutlingen, Stadt",72764,87.04,115006,56748,58258,1321
"Recklinghausen, Stadt",45657,66.5,114003,55494,58509,1714
"Koblenz, Stadt",56068,105.25,113605,55055,58550,1079
"Bremerhaven, Stadt",27576,93.66,113034,56304,56730,1207
"Bergisch Gladbach, Stadt",51465,83.09,111341,53499,57842,1340
"Remscheid, Stadt",42853,74.52,110611,54533,56078,1484
"Jena, Stadt",07743,114.76,110321,54968,55353,961
Erlangen,91052,76.96,110238,54603,55635,1432
"Trier, Stadt",54290,117.07,110111,54231,55880,941
"Moers, Stadt",47441,67.68,103881,50413,53468,1535
"Salzgitter, Stadt",38226,224.49,103668,51528,52140,462
"Siegen, Universitätsstadt",57072,114.69,101863,49735,52128,888
"Hildesheim, Stadt",31134,92.29,101687,48241,53446,1102
"Cottbus, Stadt",03046,165.62,100416,49542,50874,606
"Kaiserslautern, Stadt",67657,139.7,99302,50008,49294,711
"Gütersloh, Stadt",33330,112.02,98466,48898,49568,879
"Witten, Stadt",58452,72.4,96781,47105,49676,1337
"Schwerin, Landeshauptstadt",19053,130.52,95668,46111,49557,733
"Hanau, Brüder-Grimm-Stadt",63450,76.49,95370,47187,48183,1247
"Gera, Stadt",07545,152.19,94750,45757,48993,623
"Iserlohn, Stadt",58636,125.49,93197,45618,47579,743
"Ludwigsburg, Stadt",71638,43.34,93035,45728,47307,2147
"Esslingen am Neckar, Stadt",73728,46.43,92186,45838,46348,1986
"Zwickau, Stadt",08056,102.58,90515,44112,46403,882
"Düren, Stadt",52349,85,90066,44430,45636,1060
"Tübingen, Universitätsstadt",72070,108.07,88347,41944,46403,818
"Flensburg, Stadt",24937,56.74,87432,43617,43815,1541
"Ratingen, Stadt",40878,88.74,87158,41726,45432,982
"Gießen, Universitätsstadt",35390,72.55,86543,42316,44227,1193
"Lünen, Stadt",44532,59.39,86274,42045,44229,1453
"Villingen-Schwenningen, Stadt",78050,165.5,84070,41274,42796,508
"Konstanz, Universitätsstadt",78462,54.11,83789,40262,43527,1548
"Marl, Stadt",45768,87.76,83737,41190,42547,954
"Worms, Stadt",67547,108.73,82595,40542,42053,760
"Dessau-Roßlau, Stadt",06844,244.75,82505,40105,42400,337
"Velbert, Stadt",42551,74.9,81822,39905,41917,1092
"Minden, Stadt",32423,101.12,81637,40087,41550,807
"Neumünster, Stadt",24534,71.63,79680,39438,40242,1112
"Norderstedt, Stadt",22846,58.1,77996,37819,40177,1342
"Delmenhorst, Stadt",27749,62.45,77045,38169,38876,1234
"Viersen, Stadt",41747,91.1,76384,36918,39466,838
"Wilhelmshaven, Stadt",26382,107.07,76201,37511,38690,712
Bamberg,96047,54.62,75743,36286,39457,1387
"Gladbeck, Stadt",45964,35.97,75532,36763,38769,2100
"Rheine, Stadt",48431,145,75338,37264,38074,520
"Dorsten, Stadt",46284,171.2,75196,36603,38593,439
"Marburg, Universitätsstadt",35037,123.92,74675,35645,39030,603
"Troisdorf, Stadt",53840,62,74616,36507,38109,1203
"Lüneburg, Hansestadt",21335,70.5,74494,35901,38593,1057
"Castrop-Rauxel, Stadt",44575,51.68,74004,36011,37993,1432
"Arnsberg, Stadt",59759,193.72,73990,36405,37585,382
"Detmold, Stadt",32756,129.39,73899,35557,38342,571
"Lüdenscheid, Stadt",58507,87.02,73164,35905,37259,841
Bayreuth,95444,66.89,73065,35438,37627,1092
"Brandenburg an der Havel, Stadt",14770,229.72,71664,35380,36284,312
"Bocholt, Stadt",46395,119.4,71350,34938,36412,598
Landshut,84028,65.83,70025,33927,36098,1064
"Celle, Stadt",29221,176.02,69561,33697,35864,395
Aschaffenburg,63739,62.45,69187,33450,35737,1108
"Lippstadt, Stadt",59555,113.68,67812,33375,34437,596
"Dinslaken, Stadt",46535,47.66,67726,32808,34918,1421
"Aalen, Stadt",73430,146.58,67684,33502,34182,462
"Kempten (Allgäu)",87435,63.28,67529,33437,34092,1067
"Fulda, Stadt",36037,104.04,67466,32968,34498,648
"Herford, Hansestadt",32052,79.16,66514,32405,34109,840
"Kerpen, Kolpingstadt",50171,113.96,65568,32252,33316,575
"Plauen, Stadt",08523,102.11,65049,31647,33402,637
"Neuwied, Stadt",56564,86.5,64689,31598,33091,748
"Weimar, Stadt",99423,84.48,64355,31152,33203,762
"Sindelfingen, Stadt",71063,50.83,64159,31833,32326,1262
"Rüsselsheim am Main, Stadt",65428,58.29,64022,31833,32189,1098
"Dormagen, Stadt",41539,85.5,64016,31802,32214,749
"Neubrandenburg, Stadt",17033,86.11,63794,30942,32852,741
"Grevenbroich, Stadt",41515,102.41,62977,30558,32419,615
Rosenheim,83022,37.22,62672,30760,31912,1684
"Herten, Stadt",45699,37.33,61461,30039,31422,1646
"Garbsen, Stadt",30827,79.49,60853,29685,31168,766
"Wesel, Stadt",46483,122.56,60797,29550,31247,496
"Schwäbisch Gmünd, Stadt",73525,113.78,60349,29478,30871,530
"Bergheim, Stadt",50126,96.34,60288,29634,30654,626
"Friedrichshafen, Stadt",88045,69.93,59611,29586,30025,852
"Hürth, Stadt",50354,51.22,59272,28985,30287,1157
"Stralsund, Hansestadt",18439,54.14,59101,29076,30025,1092
"Offenburg, Stadt",77652,78.37,58736,28811,29925,750
"Langenfeld (Rheinland), Stadt",40764,41.15,58563,28461,30102,1423
"Frankfurt (Oder), Stadt",15230,147.85,58193,28116,30077,394
"Greifswald, Hansestadt",17489,50.81,57985,27932,30053,1141
"Euskirchen, Stadt",53879,139.49,57241,28074,29167,410
"Neu-Ulm, GKSt",89231,80.95,56978,28080,28898,704
"Göppingen, Stadt",73033,59.21,56904,28140,28764,961
"Unna, Stadt4)",59423,88.56,/,/,/,/
"Hameln, Stadt",31785,102.53,56747,27063,29684,553
"Stolberg (Rhld.), Kupferstadt",52222,98.48,56366,27937,28429,572
"Sankt Augustin, Stadt",53757,34.22,56115,27428,28687,1640
"Eschweiler, Stadt",52249,75.75,56008,27331,28677,739
"Görlitz, Stadt",02826,67.52,55904,26915,28989,828
"Hilden, Stadt",40721,25.95,55569,26782,28787,2141
"Meerbusch, Stadt",40667,64.39,55091,26219,28872,856
"Waiblingen, Stadt",71332,42.75,54824,26866,27958,1282
"Hattingen, Stadt",45525,71.66,54744,26581,28163,764
"Baden-Baden, Stadt",76530,140.19,54307,25920,28387,387
"Lingen (Ems), Stadt",49808,176.19,53905,26677,27228,306
"Pulheim, Stadt",50259,72.15,53834,25981,27853,746
"Bad Salzuflen, Stadt",32105,100.05,53746,25803,27943,537
"Bad Homburg v. d. Höhe, Stadt",61348,51.16,53707,25444,28263,1050
"Langenhagen, Stadt",30853,71.97,53514,26236,27278,744
"Menden (Sauerland), Stadt",58706,86.1,53315,26180,27135,619
"Nordhorn, Stadt",48529,149.87,53286,26280,27006,356
"Neustadt an der Weinstraße, Stadt",67433,117.09,53209,25873,27336,454
"Ahlen, Stadt",59227,123.13,52905,25899,27006,430
Schweinfurt,97421,35.7,52724,25637,27087,1477
"Wetzlar, Stadt",35578,75.67,52446,25250,27196,693
"Wolfenbüttel, Stadt",38300,78.74,52446,25858,26588,666
"Frechen, Stadt",50226,45.06,52171,25422,26749,1158
"Goslar, Stadt",38640,163.88,51439,25061,26378,314
"Ibbenbüren, Stadt",49477,108.87,51289,25320,25969,471
Passau,94032,69.56,51074,24380,26694,734
"Kleve, Stadt",47533,97.76,51047,25249,25798,522
"Willich, Stadt",47877,67.8,50932,24904,26028,751
"Speyer, Stadt",67346,42.71,50551,24413,26138,1183
"Emden, Stadt",26721,112.34,50486,25205,25281,449
"Gummersbach, Stadt",51643,95.42,50368,24849,25519,528
"Ravensburg, Stadt",88212,92.05,50095,24683,25412,544
"Bad Kreuznach, Stadt",55545,55.56,50034,23729,26305,901
"Peine, Stadt",31224,119.84,49676,24507,25169,415
"Böblingen, Stadt",71032,39.04,49611,24416,25195,1271
"Erftstadt, Stadt",50374,119.89,49513,24033,25480,413
"Elmshorn, Stadt",25335,21.37,49206,24084,25122,2303
"Lörrach, Stadt",79539,39.37,49153,23676,25477,1249
"Bad Oeynhausen, Stadt",32545,64.83,48846,23855,24991,754
"Heidenheim an der Brenz, Stadt",89522,107.09,48709,24145,24564,455
"Cuxhaven, Stadt",27472,161.92,48551,23048,25503,300
"Bergkamen, Stadt",59192,44.9,48543,23947,24596,1081
"Rheda-Wiedenbrück, Stadt",33378,86.72,48526,24273,24253,560
"Rastatt, Stadt",76437,58.98,48494,23980,24514,822
"Frankenthal (Pfalz), Stadt",67227,43.88,48445,23483,24962,1104
"Freising, GKSt",85354,88.59,47848,24051,23797,540
"Bornheim, Stadt",53332,82.69,47749,23342,24407,577
"Leonberg, Stadt",71229,48.73,47744,23707,24037,980
"Singen (Hohentwiel), Stadt",78224,61.77,47603,23154,24449,771
"Soest, Stadt",59494,85.81,47436,22876,24560,553
"Gronau (Westf.), Stadt",48599,78.82,47287,23547,23740,600
"Hennef (Sieg), Stadt",53773,105.89,47237,23043,24194,446
"Stade, Hansestadt",21682,110.07,47194,23073,24121,429
Straubing,94315,67.59,47142,23683,23459,697
"Dachau, GKSt",85221,34.96,46914,23000,23914,1342
"Neunkirchen, Kreisstadt",66538,75.26,46816,23072,23744,622
"Schwerte, Hansestadt an der Ruhr",58239,56.23,46754,22810,23944,832
"Alsdorf, Stadt",52477,31.68,46712,23160,23552,1475
"Herzogenrath, Stadt",52134,33.38,46612,22692,23920,1396
"Dülmen, Stadt",48249,184.83,46523,22627,23896,252
"Wittenberg, Lutherstadt",06886,240.41,46276,22320,23956,192
"Melle, Stadt",49324,253.95,46228,22900,23328,182
"Landau in der Pfalz, Stadt",76829,82.94,46006,21759,24247,555
"Oberursel (Taunus), Stadt",61440,45.37,45849,22195,23654,1011
"Lahr/Schwarzwald, Stadt",77933,69.84,45784,22740,23044,656
"Bünde, Stadt",32257,59.3,45639,22245,23394,770
"Fellbach, Stadt",70734,27.71,45438,22007,23431,1640
"Filderstadt, Stadt",70794,38.55,45389,22513,22876,1177
Hof,95028,58.02,45183,21631,23552,779
"Gotha, Stadt",99867,69.58,45172,22206,22966,649
"Weinheim, Stadt",69469,58.11,44954,21954,23000,774
"Albstadt, Stadt",72458,134.4,44696,22020,22676,333
"Rodgau, Stadt",63110,65.04,44465,22086,22379,684
"Erkrath, Fundort des Neanderthalers, Stadt",40699,26.88,44413,21369,23044,1652
"Brühl, Stadt",50321,36.12,44294,21130,23164,1226
"Bruchsal, Stadt",76646,93.19,44266,22208,22058,475
"Rottenburg am Neckar, Stadt",72108,142.26,44203,22135,22068,311
"Oranienburg, Stadt",16515,163.66,44079,21618,22461,269
"Neustadt am Rübenberge, Stadt",31535,358.96,43902,21771,22131,122
"Lehrte, Stadt",31275,127.67,43720,21685,22035,342
"Kamen, Stadt",59174,40.95,43672,21423,22249,1066
"Erkelenz, Stadt",41812,117.34,43388,21204,22184,370
Memmingen,87700,70.11,43293,21331,21962,617
"Kaarst, Stadt",41564,37.39,43218,20748,22470,1156
Kaufbeuren,87600,40.02,43134,21192,21942,1078
"Falkensee, Stadt",14612,43.27,43105,21107,21998,996
"Bietigheim-Bissingen, Stadt",74321,31.29,43068,21239,21829,1376
"Wismar, Hansestadt",23952,41.72,42992,21023,21969,1031
"Halberstadt, Stadt",38820,142.98,42980,22117,20863,301
"Pinneberg, Stadt",25421,21.54,42638,20701,21937,1979
"Eisenach, Stadt",99817,104.17,42588,20969,21619,409
"Weiden i.d.OPf.",92637,70.57,42494,20457,22037,602
"Borken, Stadt",46325,152.97,42388,20838,21550,277
Amberg,92224,50.13,42348,20901,21447,845
"Nordhausen, Stadt",99734,105.62,42129,20660,21469,399
"Nettetal, Stadt",41334,83.87,42093,20804,21289,502
"Homburg, Kreisstadt",66424,82.61,42040,20562,21478,509
"Gifhorn, Stadt",38518,105.39,42019,20753,21266,399
"Aurich, Stadt",26603,197.29,41793,20579,21214,212
"Freiberg, Stadt, Universitätsstadt",09599,48.32,41642,20955,20687,862
Ansbach,91522,99.91,41532,19885,21647,416
"Wunstorf, Stadt",31515,125.74,41478,20210,21268,330
"Heinsberg, Stadt",52525,92.21,41471,20386,21085,450
"Laatzen, Stadt",30880,34.16,41389,20031,21358,1212
"Lemgo, Stadt",32657,100.85,41087,20309,20778,407
Coburg,96450,48.29,41071,19929,21142,851
"Dreieich, Stadt",63303,53.3,41042,20125,20917,770
"Siegburg, Stadt",53721,23.66,41034,20149,20885,1734
"Königswinter, Stadt",53639,76.17,40927,19936,20991,537
"Monheim am Rhein, Stadt",40789,23.05,40814,19633,21181,1771
"Nürtingen, Stadt",72622,46.88,40752,20364,20388,869
Schwabach,91126,40.8,40707,19821,20886,998
"Weißenfels, Stadt",06667,113.55,40671,20632,20039,358
"Pirmasens, Stadt",66953,61.36,40416,19684,20732,659
"Bensheim, Stadt",64625,57.83,40168,19662,20506,695
"Stendal, Hansestadt",39576,268.02,40164,19671,20493,150
"Kirchheim unter Teck, Stadt",73230,40.47,40130,19826,20304,991
"Germering, GKSt",82110,21.6,40039,19296,20743,1853
"Buxtehude, Hansestadt",21614,76.69,40033,19907,20126,522
"Eberswalde, Stadt",16225,93.64,40019,19708,20311,427
"Bautzen, Stadt",02625,66.69,39963,19425,20538,599
"Bitterfeld-Wolfen, Stadt",06766,86.96,39843,19252,20591,458
"Löhne, Stadt",32584,59.51,39767,19457,20310,668
"Leinfelden-Echterdingen, Stadt",70771,29.89,39688,19732,19956,1328
"Völklingen, Stadt",66333,67.1,39574,19277,20297,590
"Neumarkt i.d.OPf., GKSt",92318,79.01,39573,19306,20267,501
"Schorndorf, Stadt",73614,56.83,39520,19385,20135,695
"Hofheim am Taunus, Kreisstadt",65719,57.38,39517,19265,20252,689
"Hückelhoven, Stadt",41836,61.27,39423,19502,19921,643
"Freital, Stadt",01705,40.45,39361,19177,20184,973
"Ettlingen, Stadt",76275,56.75,39332,19208,20124,693
"Schwäbisch Hall, Stadt",74523,104.24,39328,19058,20270,377
"Ahaus, Stadt",48683,151.24,39314,19651,19663,260
"Ostfildern, Stadt",73760,22.81,38835,19188,19647,1702
"Würselen, Stadt",52146,34.39,38823,19033,19790,1129
"Maintal, Stadt",63477,32.4,38739,19085,19654,1196
"Mettmann, Stadt",40822,42.56,38734,18661,20073,910
"Buchholz in der Nordheide, Stadt",21244,74.76,38689,18512,20177,518
"Pirna, Stadt",01796,53.06,38187,18556,19631,720
"Haltern am See, Stadt",45721,159.03,37893,18455,19438,238
"Niederkassel, Stadt",53859,35.79,37828,18674,19154,1057
"Bernau bei Berlin, Stadt",16321,104.17,37725,18378,19347,362
"Neu-Isenburg, Stadt",63263,24.31,37563,18508,19055,1545
"Kamp-Lintfort, Stadt",47475,63.14,37414,18402,19012,593
"Langen (Hessen), Stadt",63225,29.12,37252,18343,18909,1279
"Fürstenfeldbruck, GKSt",82256,32.53,37176,18425,18751,1143
"Warendorf, Stadt",48231,176.88,37127,18041,19086,210
"Greven, Stadt",48268,140.26,37097,18318,18779,264
"Beckum, Stadt",59269,111.46,36729,18170,18559,330
"Papenburg, Stadt",26871,118.44,36698,18645,18053,310
"Backnang, Stadt",71522,39.38,36633,18172,18461,930
"Königs Wusterhausen, Stadt",15711,96.04,36468,17909,18559,380
"Coesfeld, Stadt",48653,141.36,36374,17907,18467,257
"Erding, GKSt",85435,54.61,36291,17565,18726,665
"Emsdetten, Stadt",48282,72.06,36288,18025,18263,504
"Voerde (Niederrhein), Stadt",46562,53.49,36273,17748,18525,678
"St. Ingbert, Stadt",66386,49.95,36069,17305,18764,722
"Wesseling, Stadt",50389,23.37,35768,17691,18077,1530
"Porta Westfalica, Stadt",32457,105.22,35698,17648,18050,339
"Suhl, Stadt",98527,103.03,35608,17337,18271,346
"Sinsheim, Stadt",74889,126.99,35410,17681,17729,279
"Kehl, Stadt",77694,75.07,35391,17487,17904,471
"Lage, Stadt",32791,76.04,35099,17317,17782,462
"Tuttlingen, Stadt",78532,90.45,34946,17378,17568,386
"Meppen, Stadt",49716,188.4,34935,17210,17725,185
"Kempen, Stadt",47906,68.8,34865,16997,17868,507
"Saarlouis, Kreisstadt",66740,43.28,34849,16960,17889,805
"Limburg a.d. Lahn, Kreisstadt",65549,45.15,34808,17183,17625,771
"Wermelskirchen, Stadt",42929,74.8,34638,16917,17721,463
"Datteln, Stadt",45711,66.1,34555,16930,17625,523
"Zweibrücken, Stadt",66482,70.64,34428,17012,17416,487
"Winsen (Luhe), Stadt",21423,109.79,34284,16838,17446,312
"Cloppenburg, Stadt",49661,70.86,34216,16825,17391,483
"Mörfelden-Walldorf, Stadt",64546,44.15,34135,17211,16924,773
"Leer (Ostfriesland), Stadt",26789,70.11,34129,17008,17121,487
"Viernheim, Stadt",68519,48.4,34100,16734,17366,705
"Merseburg, Stadt",06217,53.76,33931,16526,17405,631
"Barsinghausen, Stadt",30890,102.81,33922,16739,17183,330
"Dietzenbach, Kreisstadt",63128,21.67,33903,16934,16969,1564
"Radebeul, Stadt",01445,26.14,33826,16333,17493,1294
"Hemer, Stadt4)",58675,67.66,/,/,/,/
"Geldern, Stadt",47608,96.97,33778,16901,16877,348
"Seelze, Stadt",30926,54.08,33763,16704,17059,624
"Balingen, Stadt",72336,90.32,33750,16407,17343,374
"Crailsheim, Stadt",74564,109.08,33735,16962,16773,309
"Goch, Stadt",47574,115.43,33701,16885,16816,292
"Uelzen, Hansestadt",29525,136.84,33633,16338,17295,246
"Steinfurt, Stadt",48565,111.67,33633,16678,16955,301
"Hoyerswerda, Stadt",02977,95.53,33552,16132,17420,351
"Bernburg (Saale), Stadt",06406,113.48,33536,16409,17127,296
"Kornwestheim, Stadt",70806,14.65,33502,16599,16903,2287
"Bad Vilbel, Stadt",61118,25.68,33458,16229,17229,1303
"Wedel, Stadt",22880,33.82,33322,16155,17167,985
"Mühlhausen/Thüringen, Stadt",99974,86.74,33214,16080,17134,383
"Korschenbroich, Stadt",41352,55.26,32947,16040,16907,596
"Ahrensburg, Stadt",22926,35.3,32936,15630,17306,933
"Wernigerode, Stadt",38855,170.18,32911,15624,17287,193
"Rheinfelden (Baden), Stadt",79618,62.82,32804,16069,16735,522
"Altenburg, Stadt",04600,45.69,32788,15888,16900,718
"Naumburg (Saale), Stadt",06618,129.9,32784,15889,16895,252
"Deggendorf, GKSt",94469,77.14,32782,16090,16692,425
"Biberach an der Riß, Stadt",88400,72.15,32704,16108,16596,453
"Lampertheim, Stadt",68623,72.28,32554,16113,16441,450
"Jülich, Stadt",52428,90.39,32454,16197,16257,359
"Vechta, Stadt",49377,87.88,32179,15943,16236,366
"Fürstenwalde/Spree, Stadt",15517,70.68,32025,15884,16141,453
"Delbrück, Stadt",33129,157.28,31949,16295,15654,203
"Forchheim, GKSt",91301,44.45,31942,15366,16576,719
"Bad Nauheim, Stadt",61231,32.54,31924,15040,16884,981
"Itzehoe, Stadt",25524,28.03,31896,15266,16630,1138
"Georgsmarienhütte, Stadt",49124,55.45,31594,15471,16123,570
"Oer-Erkenschwick, Stadt",45739,38.66,31569,15639,15930,817
"Achim, Stadt",28832,68.06,31422,15276,16146,462
"Rheinberg, Stadt",47495,75.24,31356,15353,16003,417
"Nienburg (Weser), Stadt",31582,64.53,31354,15205,16149,486
"Herrenberg, Stadt",71083,65.7,31253,15275,15978,476
"Bramsche, Stadt",49565,183.39,31110,15799,15311,170
"Kreuztal, Stadt",57223,71.07,31082,15409,15673,437
"Einbeck, Stadt",37574,231.92,31076,15156,15920,134
"Schönebeck (Elbe), Stadt",39218,86.02,31063,15010,16053,361
"Geestland, Stadt",27607,356.83,31040,15136,15904,87
"Neuruppin, Stadt",16816,305.25,31037,15208,15829,102
"Gevelsberg, Stadt",58285,26.34,30966,15076,15890,1176
"Riesa, Stadt",01589,58.91,30894,14992,15902,524
"Emmerich am Rhein, Stadt",46446,80.4,30852,15583,15269,384
"Werl, Stadt",59457,76.35,30843,15776,15067,404
"Radolfzell am Bodensee, Stadt",78315,58.55,30784,14897,15887,526
"Geesthacht, Stadt",21502,33.25,30453,14917,15536,916
"Haan, Stadt",42781,24.19,30414,14574,15840,1257
"Osterholz-Scharmbeck, Stadt",27711,147.17,30398,14921,15477,207
"Lohmar, Stadt",53797,65.62,30395,14968,15427,463
"Burgdorf, Stadt",31303,112.56,30320,14872,15448,269
"Schwedt/Oder, Stadt",16303,205.56,30182,14509,15673,147
"Weil am Rhein, Stadt",79576,19.46,30164,14621,15543,1550
"Meschede, Kreis- und  Hochschulstadt",59872,218.5,30081,14893,15188,138
"Ennepetal, Stadt der Kluterthöhle",58256,57.77,29901,14581,15320,518
"Werne, Stadt",59368,76.14,29858,14488,15370,392
"Merzig, Kreisstadt",66663,108.98,29812,14742,15070,274
"Andernach, Stadt",56626,53.34,29679,14389,15290,556
"Bad Hersfeld, Kreisstadt",36251,73.82,29615,14477,15138,401
"Neuburg a.d.Donau, GKSt",86633,81.29,29587,14908,14679,364
"Friedberg, St",86316,81.25,29510,14438,15072,363
"Taunusstein, Stadt",65232,67.03,29470,14278,15192,440
"Rietberg, Stadt",33397,110.31,29444,14861,14583,267
"Höxter, Stadt",37671,158.16,29420,14564,14856,186
"Gaggenau, Stadt",76571,65.01,29315,14406,14909,451
"Oelde, Stadt",59302,102.77,29265,14670,14595,285
"Waltrop, Stadt",45731,47.09,29245,14195,15050,621
"Tönisvorst, Stadt",47918,44.34,29235,14239,14996,659
"Güstrow, Stadt",18273,71.09,29215,14139,15076,411
"Vaihingen an der Enz, Stadt",71665,73.4,29041,14469,14572,396
"Northeim, Stadt",37154,145.85,28966,14163,14803,199
"Bretten, Stadt",75015,71.1,28959,14416,14543,407
"Bühl, Stadt",77815,73.18,28903,14186,14717,395
"Zeitz, Stadt",06712,87.18,28826,13988,14838,331
"Landsberg am Lech, GKSt",86899,57.91,28824,14395,14429,498
"Springe, Stadt",31832,160.12,28807,13976,14831,180
"Rösrath, Stadt",51503,38.8,28778,14126,14652,742
"Unterschleißheim, St",85716,14.93,28761,14509,14252,1927
"Kelkheim (Taunus), Stadt",65779,30.65,28691,14079,14612,936
"Schwandorf, GKSt",92421,123.81,28621,14291,14330,231
"Friedberg (Hessen), Kreisstadt",61169,50.17,28596,14279,14317,570
"Schwelm, Stadt",58332,20.49,28477,13722,14755,1390
"Idar-Oberstein, Stadt",55743,91.58,28373,13880,14493,310
"Grimma, Stadt",04668,218.25,28322,13952,14370,130
"Kevelaer, Stadt",47623,100.64,28287,13916,14371,281
"Rendsburg, Stadt",24768,23.73,28190,13926,14264,1188
"Wegberg, Stadt",41844,84.34,28165,13886,14279,334
"Winnenden, Stadt",71364,28.05,28152,13956,14196,1004
"Mühlheim am Main, Stadt",63165,20.67,28130,13925,14205,1361
"Leichlingen (Rheinland), Blütenstadt",42799,37.26,28101,13546,14555,754
"Sundern (Sauerland), Stadt",59846,193.27,28000,14069,13931,145
"Meißen, Stadt",01662,30.92,27984,13481,14503,905
"Bad Neuenahr-Ahrweiler, Stadt",53474,63.38,27844,13005,14839,439
"Wetter (Ruhr), Stadt",58300,31.55,27785,13680,14105,881
"Königsbrunn, St",86343,18.4,27780,13727,14053,1510
"Aschersleben, Stadt",06449,156.22,27751,13399,14352,178
"Baunatal, Stadt",34225,38.26,27704,13408,14296,724
"Rödermark, Stadt",63322,29.99,27579,13468,14111,920
"Geislingen an der Steige, Stadt",73312,75.83,27550,13744,13806,363
"Verden (Aller), Stadt",27283,71.7,27539,13341,14198,384
"Emmendingen, Stadt",79312,33.78,27511,13301,14210,814
