Stadt,"Post-leitzahl 1)","Fläche in km2 2)",insgesamt,männlich,weiblich,"je km2"
"Bredstedt, Stadt",25821,9.75,5432,2673,2759,557
"Falkenstein/Harz, Stadt",06463,102.97,5419,2751,2668,53
"Prüm, Stadt",54595,22.87,5414,2734,2680,237
"Kemnath, St",95478,56.8,5398,2631,2767,95
"Schleusingen, Stadt",98553,36.88,5391,2649,2742,146
"Burg Stargard, Stadt",17094,76.61,5387,2641,2746,70
"Tharandt, Stadt",01737,71.22,5383,2722,2661,76
"Lütjenburg, Stadt",24321,6.15,5377,2606,2771,874
"Kastellaun, Stadt",56288,8.47,5361,2698,2663,633
"Niedenstein, Stadt",34305,30.61,5354,2734,2620,175
"Otterberg, Stadt",67697,32.11,5340,2596,2744,166
"Battenberg (Eder), Stadt",35088,64.73,5337,2670,2667,82
"Geithain, Stadt",04643,30.22,5336,2591,2745,177
"Thum, Stadt",09419,18.9,5328,2634,2694,282
"Uebigau-Wahrenbrück, Stadt",04938,135.61,5324,2697,2627,39
"Wirges, Stadt",56422,10.11,5323,2590,2733,526
"Altentreptow, Stadt",17087,53.08,5310,2576,2734,100
"Cochem, Stadt",56812,21.18,5310,2696,2614,251
"Velburg, St",92355,175.66,5310,2673,2637,30
"Pottenstein, St",91278,73.29,5257,2644,2613,72
"Eltmann, St",97483,40.75,5256,2663,2593,129
"Kusel, Stadt",66869,14.37,5252,2565,2687,366
"Vacha, Stadt",36404,44.41,5237,2578,2659,118
"Rockenhausen, Stadt",67806,36.83,5233,2581,2652,142
"Arzberg, St",95659,43.19,5231,2613,2618,121
"Diemelstadt, Stadt",34474,82.58,5229,2663,2566,63
"Külsheim, Stadt",97900,81.43,5218,2680,2538,64
"Munderkingen, Stadt",89597,13.07,5205,2568,2637,398
"Borkum, Stadt",26757,30.98,5189,2447,2742,167
"Neudenau, Stadt",74861,32.91,5186,2619,2567,158
"Heimsheim, Stadt",71296,14.3,5175,2829,2346,362
"Stühlingen, Stadt",79780,93.16,5143,2595,2548,55
"Amöneburg, Stadt",35287,43.95,5136,2570,2566,117
"Zarrentin am Schaalsee, Stadt",19246,91.91,5134,2588,2546,56
"Unkel, Stadt",53572,8.16,5127,2446,2681,628
"Erbendorf, St",92681,67.56,5115,2535,2580,76
"Oettingen i.Bay., St",86732,34.22,5107,2535,2572,149
"Röbel/Müritz, Stadt",17207,30.69,5106,2416,2690,166
"Lindenfels, Stadt",64678,21.09,5105,2551,2554,242
"Naumburg, Stadt",34311,66.29,5104,2513,2591,77
"Hofheim i.UFr., St",97461,56.34,5090,2524,2566,90
"Treffurt, Stadt",99830,54.77,5080,2520,2560,93
"Hollfeld, St",96142,80.65,5078,2497,2581,63
"Freinsheim, Stadt",67251,13.59,5072,2454,2618,373
"Marienmünster, Stadt",37696,64.36,5071,2540,2531,79
"Pausa-Mühltroff, Stadt",07952,64.13,5052,2505,2547,79
"Reichenbach/O.L., Stadt",02894,62.64,5047,2499,2548,81
"Adorf/Vogtl., Stadt",08626,42.92,5038,2433,2605,117
"Trendelburg, Stadt",34388,69.35,5036,2506,2530,73
